時間(年月),航務中心,船舶種類,丈量_淨噸位,丈量_總噸位,丈量_艘數,檢查_淨噸位,檢查_總噸位,檢查_艘數
10001,南部航務中心,小船,3,0,3,112,309,86
10001,南部航務中心,其他,312,93,2,2001,5480,12
10001,北部航務中心,輪船,0,0,0,410,1366,2
10002,東部航務中心,小船,0,0,0,1,4,1
10003,東部航務中心,小船,0,0,0,18,58,6
10003,南部航務中心,小船,4,0,4,100,419,134
10003,北部航務中心,拖駁船,0,0,0,94,313,2
10003,中部航務中心,漁船,0,0,0,165,560,8
10004,中部航務中心,其他,0,0,0,453,996,1
10005,南部航務中心,漁船,1059,520,2,4953,12894,81
10005,南部航務中心,拖駁船,0,0,0,229,765,3
10005,中部航務中心,漁船,0,0,0,150,471,9
10006,南部航務中心,輪船,42,12,1,3312,9194,24
10006,中部航務中心,輪船,0,0,0,48,164,4
10007,北部航務中心,其他,0,0,0,216,722,10
10007,中部航務中心,小船,0,0,0,3,27,16
10008,東部航務中心,其他,0,0,0,9,30,1
10010,北部航務中心,輪船,0,0,0,410,1366,2
10011,東部航務中心,小船,0,0,0,17,53,6
10011,東部航務中心,漁船,0,0,0,81,237,6
10011,北部航務中心,拖駁船,0,0,0,145,514,2
10011,中部航務中心,其他,0,0,0,339,1134,3
10012,北部航務中心,漁船,79,24,2,414,1344,18
10101,南部航務中心,小船,19,5,8,97,271,66
10102,南部航務中心,漁船,437,144,6,4984,12942,100
10104,南部航務中心,小船,47,11,7,92,373,66
10104,北部航務中心,小船,0,0,0,43,164,24
10105,東部航務中心,小船,0,0,0,4,15,5
10105,南部航務中心,小船,15,1,9,238,850,173
10105,南部航務中心,拖駁船,0,0,0,1113,2899,5
10105,中部航務中心,漁船,0,0,0,173,569,10
10106,東部航務中心,輪船,0,0,0,160,476,1
10106,北部航務中心,拖駁船,0,0,0,99,331,1
10107,東部航務中心,其他,0,0,0,9,30,1
10107,南部航務中心,輪船,0,0,0,5417,14532,18
10107,南部航務中心,漁船,229,73,2,19399,43143,137
10109,中部航務中心,小船,0,0,0,0,2,2
10109,中部航務中心,拖駁船,0,0,0,13,45,1
10110,南部航務中心,漁船,1599,734,4,8175,20826,90
10111,南部航務中心,小船,34,6,9,114,402,105
10111,南部航務中心,拖駁船,0,0,0,665,2262,9
10111,北部航務中心,漁船,0,0,0,1093,3283,31
10112,中部航務中心,漁船,0,0,0,103,270,8
10112,中部航務中心,其他,0,0,0,995,2805,2
10201,南部航務中心,拖駁船,56,16,1,556,1796,8
10201,北部航務中心,漁船,33,10,1,862,2647,26
10202,東部航務中心,小船,0,0,0,24,59,9
10202,東部航務中心,漁船,0,0,0,54,142,5
10202,南部航務中心,輪船,1356,532,1,3996,10007,11
10202,北部航務中心,輪船,0,0,0,1242,2101,2
10203,東部航務中心,小船,0,0,0,23,59,9
10205,北部航務中心,小船,23,8,2,198,730,136
10206,南部航務中心,小船,11,1,9,165,572,217
10206,南部航務中心,拖駁船,0,0,0,1086,2819,6
10206,北部航務中心,小船,30,7,6,149,516,124
10207,北部航務中心,漁船,83,25,1,1792,4575,42
10207,中部航務中心,輪船,0,0,0,12,41,1
10207,中部航務中心,拖駁船,0,0,0,98,328,1
10208,東部航務中心,拖駁船,0,0,0,98,329,1
10208,北部航務中心,輪船,0,0,0,2823,6732,2
10208,北部航務中心,漁船,245,84,4,2375,6973,40
10209,南部航務中心,輪船,0,0,0,856,2182,7
10209,北部航務中心,小船,28,8,4,82,298,78
10209,中部航務中心,輪船,0,0,0,254,850,2
10209,中部航務中心,小船,0,0,0,12,45,8
10210,南部航務中心,漁船,1626,498,3,12924,33239,131
10211,南部航務中心,其他,0,0,0,1697,4206,20
10211,中部航務中心,漁船,0,0,0,45,156,4
10301,北部航務中心,小船,11,2,2,26,119,29
10304,東部航務中心,其他,0,0,0,761,2537,2
10304,南部航務中心,漁船,340,138,2,7593,18816,101
10304,北部航務中心,漁船,69,20,1,1454,4420,49
10304,中部航務中心,漁船,0,0,0,206,675,8
10305,南部航務中心,拖駁船,0,0,0,226,758,3
10306,中部航務中心,其他,0,0,0,416,1393,4
10307,中部航務中心,輪船,0,0,0,692,1304,3
10308,東部航務中心,漁船,0,0,0,165,447,12
10308,南部航務中心,拖駁船,0,0,0,580,2030,9
