時間(年),船種,案件種類,發生次數
110,漁船,船沉(艘),0
110,商船,船沉(艘),6
110,漁船,船損(艘),8
110,商船,船損(艘),21
110,漁船,死亡(人),0
110,商船,死亡(人),11
110,漁船,失蹤(人),0
110,商船,失蹤(人),13
110,漁船,受傷(人),3
110,商船,受傷(人),0
110,漁船,其他 (件),2
110,商船,其他 (件),18
110,漁船,非常變故 (件),0
110,商船,非常變故 (件),1
110,漁船,機器故障 (件),4
110,商船,機器故障 (件),8
110,漁船,傾覆 (件),2
110,商船,傾覆 (件),1
110,漁船,洩漏 (件),0
110,商船,洩漏 (件),0
110,漁船,爆炸 (件),0
110,商船,爆炸 (件),0
110,漁船,失火 (件),0
110,商船,失火 (件),2
110,漁船,觸礁或擱淺 (件),0
110,商船,觸礁或擱淺 (件),4
110,漁船,與其他物碰撞 (件),2
110,商船,與其他物碰撞 (件),2
110,漁船,兩船碰撞 (件),10
110,商船,兩船碰撞 (件),11
109,漁船,船沉(艘),1
109,商船,船沉(艘),9
109,漁船,船損(艘),31
109,商船,船損(艘),59
109,漁船,死亡(人),4
109,商船,死亡(人),15
109,漁船,失蹤(人),0
109,商船,失蹤(人),7
109,漁船,受傷(人),3
109,商船,受傷(人),16
109,漁船,其他 (件),19
109,商船,其他 (件),24
109,漁船,非常變故 (件),0
109,商船,非常變故 (件),2
109,漁船,機器故障 (件),9
109,商船,機器故障 (件),17
109,漁船,傾覆 (件),0
109,商船,傾覆 (件),2
109,漁船,洩漏 (件),0
109,商船,洩漏 (件),0
109,漁船,爆炸 (件),1
109,商船,爆炸 (件),0
109,漁船,失火 (件),3
109,商船,失火 (件),22
109,漁船,觸礁或擱淺 (件),1
109,商船,觸礁或擱淺 (件),5
109,漁船,與其他物碰撞 (件),10
109,商船,與其他物碰撞 (件),4
109,漁船,兩船碰撞 (件),23
109,商船,兩船碰撞 (件),22
108,漁船,船沉(艘),3
108,商船,船沉(艘),15
108,漁船,船損(艘),23
108,商船,船損(艘),33
108,漁船,死亡(人),2
108,商船,死亡(人),20
108,漁船,失蹤(人),1
108,商船,失蹤(人),23
108,漁船,受傷(人),2
108,商船,受傷(人),18
108,漁船,其他 (件),14
108,商船,其他 (件),32
108,漁船,非常變故 (件),0
108,商船,非常變故 (件),0
108,漁船,機器故障 (件),5
108,商船,機器故障 (件),14
108,漁船,傾覆 (件),0
108,商船,傾覆 (件),2
108,漁船,洩漏 (件),0
108,商船,洩漏 (件),0
108,漁船,爆炸 (件),0
108,商船,爆炸 (件),0
108,漁船,失火 (件),0
108,商船,失火 (件),13
108,漁船,觸礁或擱淺 (件),4
108,商船,觸礁或擱淺 (件),5
108,漁船,與其他物碰撞 (件),8
108,商船,與其他物碰撞 (件),0
108,漁船,兩船碰撞 (件),13
108,商船,兩船碰撞 (件),19
107,漁船,船沉(艘),0
107,商船,船沉(艘),13
107,漁船,船損(艘),32
107,商船,船損(艘),46
107,漁船,死亡(人),0
107,商船,死亡(人),15
107,漁船,失蹤(人),0
107,商船,失蹤(人),4
107,漁船,受傷(人),2
107,商船,受傷(人),6
107,漁船,其他 (件),15
107,商船,其他 (件),23
107,漁船,非常變故 (件),1
107,商船,非常變故 (件),0
107,漁船,機器故障 (件),7
107,商船,機器故障 (件),16
107,漁船,傾覆 (件),1
107,商船,傾覆 (件),2
107,漁船,洩漏 (件),2
107,商船,洩漏 (件),0
107,漁船,爆炸 (件),0
107,商船,爆炸 (件),0
107,漁船,失火 (件),2
107,商船,失火 (件),18
107,漁船,觸礁或擱淺 (件),2
107,商船,觸礁或擱淺 (件),6
107,漁船,與其他物碰撞 (件),3
107,商船,與其他物碰撞 (件),2
107,漁船,兩船碰撞 (件),16
107,商船,兩船碰撞 (件),19
106,漁船,船沉(艘),4
106,商船,船沉(艘),13
106,漁船,船損(艘),20
106,商船,船損(艘),48
106,漁船,死亡(人),1
106,商船,死亡(人),18
106,漁船,失蹤(人),6
106,商船,失蹤(人),5
106,漁船,受傷(人),2
106,商船,受傷(人),13
106,漁船,其他 (件),11
106,商船,其他 (件),28
106,漁船,非常變故 (件),3
106,商船,非常變故 (件),0
106,漁船,機器故障 (件),6
106,商船,機器故障 (件),26
106,漁船,傾覆 (件),1
106,商船,傾覆 (件),2
106,漁船,洩漏 (件),0
106,商船,洩漏 (件),0
106,漁船,爆炸 (件),0
106,商船,爆炸 (件),0
106,漁船,失火 (件),1
106,商船,失火 (件),17
106,漁船,觸礁或擱淺 (件),2
106,商船,觸礁或擱淺 (件),4
106,漁船,與其他物碰撞 (件),5
106,商船,與其他物碰撞 (件),2
106,漁船,兩船碰撞 (件),14
106,商船,兩船碰撞 (件),21
105,漁船,船沉(艘),0
105,商船,船沉(艘),11
105,漁船,船損(艘),32
105,商船,船損(艘),53
105,漁船,死亡(人),1
105,商船,死亡(人),18
105,漁船,失蹤(人),0
105,商船,失蹤(人),10
105,漁船,受傷(人),0
105,商船,受傷(人),16
105,漁船,其他 (件),12
105,商船,其他 (件),31
105,漁船,非常變故 (件),2
105,商船,非常變故 (件),0
105,漁船,機器故障 (件),5
105,商船,機器故障 (件),26
105,漁船,傾覆 (件),0
105,商船,傾覆 (件),1
105,漁船,洩漏 (件),0
105,商船,洩漏 (件),0
105,漁船,爆炸 (件),0
105,商船,爆炸 (件),0
105,漁船,失火 (件),0
105,商船,失火 (件),7
105,漁船,觸礁或擱淺 (件),2
105,商船,觸礁或擱淺 (件),4
105,漁船,與其他物碰撞 (件),3
105,商船,與其他物碰撞 (件),4
105,漁船,兩船碰撞 (件),24
105,商船,兩船碰撞 (件),30
104,漁船,船沉(艘),4
104,商船,船沉(艘),20
104,漁船,船損(艘),24
104,商船,船損(艘),45
104,漁船,死亡(人),5
104,商船,死亡(人),35
104,漁船,失蹤(人),5
104,商船,失蹤(人),113
104,漁船,受傷(人),9
104,商船,受傷(人),17
104,漁船,其他 (件),10
104,商船,其他 (件),41
104,漁船,非常變故 (件),4
104,商船,非常變故 (件),3
104,漁船,機器故障 (件),12
104,商船,機器故障 (件),34
104,漁船,傾覆 (件),2
104,商船,傾覆 (件),3
104,漁船,洩漏 (件),0
104,商船,洩漏 (件),0
104,漁船,爆炸 (件),1
104,商船,爆炸 (件),0
104,漁船,失火 (件),3
104,商船,失火 (件),14
104,漁船,觸礁或擱淺 (件),0
104,商船,觸礁或擱淺 (件),6
104,漁船,與其他物碰撞 (件),6
104,商船,與其他物碰撞 (件),4
104,漁船,兩船碰撞 (件),13
104,商船,兩船碰撞 (件),14
103,漁船,船沉(艘),2
103,商船,船沉(艘),28
103,漁船,船損(艘),20
103,商船,船損(艘),43
103,漁船,死亡(人),2
103,商船,死亡(人),10
103,漁船,失蹤(人),1
103,商船,失蹤(人),47
