時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2019/8/29 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/7/26 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/5/30 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/21 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/7/6 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/9 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/6/8 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/17 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/5/24 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/6/28 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/7/11 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/9/20 上午 12:00:00,近洋航線,出港,卸貨,A104東北亞航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/8/5 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/7/18 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/10/1 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/8/19 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2016/9/30 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/9/30 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
