時間,進港/出港,港口國,港口,臺灣港口,貨櫃/非貨櫃,船舶種類,船舶國籍,總噸數,艘次
2015/2/20 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,29060,1
2015/1/26 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,15995,1
2015/9/15 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/10/19 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/10/21 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/11/21 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,21932,1
2015/8/6 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,11716,1
2015/8/10 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/8/10 上午 12:00:00,進港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,14308,1
2015/9/16 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/9/17 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,11716,1
2015/10/28 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/10/28 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/12/21 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/3/7 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,25305,1
2015/3/8 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,29060,1
2015/3/8 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,9978,1
2015/3/22 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,15995,1
2015/3/5 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,17613,1
2017/7/17 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,42411,1
2016/12/9 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,57920,1
2017/8/14 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,39307,1
2017/9/8 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,84216,1
2016/12/14 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,27725,1
2016/12/30 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,62619,1
2017/4/27 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,賴比瑞亞,42826,1
2016/12/2 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,59164,1
2016/12/26 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,62619,1
2017/2/22 上午 12:00:00,進港,新加坡,新加坡港,台北港,非貨櫃船,油輪,賴比瑞亞,162863,1
2017/2/28 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,43904,1
2017/2/13 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,56204,1
2017/3/17 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,60178,1
2017/2/8 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,56204,1
2017/2/7 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,62782,1
2017/1/19 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,57326,1
2017/5/10 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,29588,1
2018/3/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,巴拿馬,13517,1
2017/8/12 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,香港,6861,1
2017/2/17 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,香港,6861,1
2017/12/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,香港,6861,1
2015/2/12 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51905,1
2015/1/24 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51208,1
2015/2/7 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51905,1
2015/1/5 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,香港,20846,1
2015/11/21 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,新加坡,43687,1
2017/5/9 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/4/7 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台北港,非貨櫃船,散裝船,新加坡,46935,1
2017/5/5 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/5/25 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/4/18 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,46935,1
2015/4/3 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51265,1
2015/4/24 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51130,1
2015/1/9 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,43642,1
2017/3/5 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,42338,1
2017/2/24 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,157039,1
2018/8/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,聖克里斯多福,2734,1
2018/7/1 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,聖克里斯多福,2734,1
2018/2/1 上午 12:00:00,出港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,聖克里斯多福,2734,1
2017/10/26 上午 12:00:00,進港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,聖克里斯多福,2734,1
2015/4/9 上午 12:00:00,出港,新加坡,新加坡港,台北港,非貨櫃船,油輪,巴拿馬,3378,1
2015/4/3 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28049,1
2015/3/8 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30027,1
2015/4/28 上午 12:00:00,進港,新加坡,新加坡港,台北港,非貨櫃船,油輪,巴拿馬,159730,1
2015/7/15 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,149371,1
2015/5/13 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,17413,1
2015/5/6 上午 12:00:00,出港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,巴拿馬,28828,1
2015/7/30 上午 12:00:00,出港,新加坡,新加坡港,台北港,非貨櫃船,油輪,巴拿馬,152145,1
2015/6/8 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,29460,1
2015/8/14 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,152041,1
2015/8/23 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30027,1
2015/9/5 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,56285,1
