時間(年月),海域位置,港口位置,港口名稱,船籍別,船舶用途名稱,船難類別,發生次數
10009,我國海域,港區內,高雄港,外輪,漁船,非常變故,1
10009,其他,其他,其他,外輪,漁船,非常變故,8
10009,其他,其他,其他,外輪,漁船,觸礁或擱淺,1
10009,其他,其他,其他,外輪,漁船,其他,1
10009,其他,其他,其他,外輪,漁船,非常變故,3
10009,其他,其他,其他,外輪,其他,其他,1
10306,其他,其他,其他,國輪,漁船,其他,1
10306,其他,其他,其他,外輪,漁船,兩船碰撞,2
10306,其他,其他,其他,外輪,漁船,非常變故,5
10404,其他,其他,其他,國輪,其他,其他,1
10404,我國海域,港區內,高雄港,國輪,其他,兩船碰撞,1
10404,我國海域,港區內,臺中港,國輪,其他,機器故障,1
10404,其他,其他,其他,國輪,其他,兩船碰撞,1
10512,其他,其他,其他,外輪,漁船,非常變故,1
10512,其他,其他,其他,外輪,漁船,非常變故,9
10512,我國海域,港區內,基隆港,國輪,其他,兩船碰撞,1
10512,我國海域,港區內,高雄港,國輪,其他,兩船碰撞,1
10512,我國海域,港區內,臺中港,國輪,其他,其他,1
10512,我國海域,港區內,安平港,外輪,其他,與其他物碰撞,1
10601,其他,其他,其他,國輪,商船,兩船碰撞,2
10601,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10601,其他,其他,其他,國輪,商船,兩船碰撞,1
10601,我國海域,港區內,蘇澳港,外輪,漁船,兩船碰撞,1
10601,我國海域,港區內,高雄港,外輪,漁船,失火,1
10601,其他,其他,其他,外輪,漁船,其他,1
10601,其他,其他,其他,外輪,漁船,非常變故,6
10601,其他,其他,其他,外輪,漁船,非常變故,3
10601,我國海域,港區內,基隆港,國輪,其他,失火,1
10601,其他,其他,其他,國輪,其他,兩船碰撞,1
10602,其他,其他,其他,國輪,商船,失火,1
10602,其他,其他,其他,國輪,商船,兩船碰撞,1
10602,其他,其他,其他,國輪,商船,觸礁或擱淺,1
10602,其他,其他,其他,國輪,商船,其他,1
10602,其他,其他,其他,國輪,商船,其他,1
10602,其他,其他,其他,國輪,商船,其他,1
10602,其他,其他,其他,國輪,商船,其他,1
10602,其他,其他,其他,國輪,商船,其他,1
10602,其他,其他,其他,國輪,商船,其他,1
10602,其他,其他,其他,國輪,商船,失火,1
10602,我國海域,港區內,花蓮港,國輪,漁船,其他,1
10602,我國海域,港區內,高雄港,外輪,漁船,兩船碰撞,2
10602,我國海域,港區內,台北港,外輪,漁船,兩船碰撞,1
10602,其他,其他,其他,國輪,漁船,兩船碰撞,1
10602,其他,其他,其他,外輪,漁船,非常變故,1
10602,其他,其他,其他,外輪,漁船,機器故障,1
10602,其他,其他,其他,外輪,漁船,非常變故,5
10602,其他,其他,其他,外輪,漁船,非常變故,1
10602,我國海域,港區內,臺中港,國輪,其他,兩船碰撞,1
10603,我國海域,港區內,花蓮港,國輪,商船,失火,1
10603,其他,其他,其他,國輪,商船,其他,1
10603,其他,其他,其他,國輪,商船,兩船碰撞,1
10603,其他,其他,其他,國輪,商船,機器故障,1
10603,其他,其他,其他,國輪,商船,其他,1
10603,其他,其他,其他,國輪,商船,機器故障,3
10603,其他,其他,其他,國輪,商船,機器故障,1
10603,我國海域,港區內,高雄港,國輪,漁船,機器故障,1
10603,我國海域,港區內,基隆港,外輪,漁船,與其他物碰撞,1
10603,我國海域,港區內,高雄港,外輪,漁船,失火,1
10603,我國海域,港區內,臺中港,外輪,漁船,其他,1
10603,我國海域,港區內,臺中港,外輪,漁船,其他,1
10603,其他,其他,其他,外輪,漁船,失火,1
10603,其他,其他,其他,外輪,漁船,非常變故,6
10603,其他,其他,其他,外輪,漁船,非常變故,7
10604,其他,其他,其他,國輪,商船,兩船碰撞,1
10604,我國海域,港區內,花蓮港,國輪,商船,兩船碰撞,1
10604,我國海域,港區內,花蓮港,國輪,商船,機器故障,1
10604,其他,其他,其他,國輪,商船,失火,1
10604,其他,其他,其他,國輪,商船,其他,1
10604,其他,其他,其他,國輪,商船,機器故障,1
10604,我國海域,港區內,基隆港,國輪,漁船,與其他物碰撞,1
10604,我國海域,港區內,高雄港,國輪,漁船,兩船碰撞,1
10604,我國海域,港區內,高雄港,外輪,漁船,與其他物碰撞,1
10604,我國海域,港區內,臺中港,外輪,漁船,兩船碰撞,1
10604,我國海域,港區內,臺中港,外輪,漁船,其他,1
10604,我國海域,港區內,臺中港,外輪,漁船,兩船碰撞,1
10604,其他,其他,其他,國輪,漁船,其他,1
10604,其他,其他,其他,國輪,漁船,機器故障,1
