時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,艘次
2015/2/6 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,胡志明,高雄港,全貨櫃船,安地卡,1
2015/4/1 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賽普勒斯,1
2015/2/11 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/3/10 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/2/4 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/3/17 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/3/24 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,香港,1
2015/1/24 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,歸仁,高雄港,全貨櫃船,香港,1
2015/5/19 上午 12:00:00,近洋航線,進港,裝貨,A2Z0東南亞其他航線,越南,胡志明,高雄港,全貨櫃船,香港,1
2015/5/29 上午 12:00:00,近洋航線,進港,裝貨,A2Z0東南亞其他航線,越南,胡志明,高雄港,全貨櫃船,香港,1
2015/6/30 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,香港,1
2015/7/10 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,香港,1
2015/4/26 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/10 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/23 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/20 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/4/18 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/5/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/5/15 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/27 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/6/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/3 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/16 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/2/27 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/4/11 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/5/23 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/1/10 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,歸仁,高雄港,全貨櫃船,印度尼西亞,1
2015/9/25 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/8/10 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/10/16 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/8/1 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,海防,高雄港,全貨櫃船,印度尼西亞,1
2015/3/13 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/5/24 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/3/23 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/7/6 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/9 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,卡萊港,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/18 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,卡萊港,高雄港,全貨櫃船,賴比瑞亞,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,越南,卡萊港,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/22 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/10/14 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/8/11 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/9/2 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/7/21 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),越南,海防,高雄港,全貨櫃船,賴比瑞亞,1
2015/2/2 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
2015/4/12 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,越南,胡志明,高雄港,全貨櫃船,賴比瑞亞,1
