時間,來源港國家,來源港口,目的港國家,目的港口,轉運港口,貨櫃量,TEU數
2015/12/1 上午 12:00:00,紐西蘭,陶蘭加,越南,海防,基隆港,1,1
2016/1/5 上午 12:00:00,紐西蘭,奧克蘭,印度,KRISHNAPATNAM,基隆港,6,12
2016/1/5 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,8,10
2016/1/5 上午 12:00:00,紐西蘭,奧克蘭,印度,Pipavav (Victor) Port,基隆港,4,4
2016/1/5 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,60,72
2016/1/5 上午 12:00:00,紐西蘭,陶蘭加,印度,Pipavav (Victor) Port,基隆港,4,8
2016/1/26 上午 12:00:00,紐西蘭,奧克蘭,馬來西亞,巴生港,基隆港,62,62
2016/1/20 上午 12:00:00,紐西蘭,奧克蘭,印度,KRISHNAPATNAM,基隆港,4,4
2016/1/20 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,3,3
2016/1/20 上午 12:00:00,紐西蘭,利特耳頓,菲律賓,馬尼拉北港,基隆港,1,1
2016/1/20 上午 12:00:00,紐西蘭,查爾麥茲港,菲律賓,馬尼拉北港,基隆港,3,6
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,3,6
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉北港,基隆港,1,1
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,泰國,南查邦,基隆港,1,1
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,越南,海防,基隆港,4,7
2016/1/13 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,2,3
2016/2/9 上午 12:00:00,紐西蘭,查爾麥茲港,越南,胡志明,基隆港,2,4
2016/2/15 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,2,4
2016/2/15 上午 12:00:00,紐西蘭,奧克蘭,印度,Pipavav (Victor) Port,基隆港,6,12
2016/2/15 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,32,32
2016/2/15 上午 12:00:00,紐西蘭,陶蘭加,印度,蒙得拉,基隆港,1,1
2016/2/15 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,2,4
2016/2/23 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,4,4
2016/2/23 上午 12:00:00,紐西蘭,陶蘭加,巴基斯坦,Karachi-Muhammad Bin Qasim,基隆港,4,8
2016/3/1 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,4,4
