時間,臺灣港口,國內/國外,地區別,貨物別,重量(公噸)
096年01月,基隆港,國外,中國大陸,化工原料,43
096年01月,基隆港,國外,埃及,化工原料,20
096年01月,基隆港,國外,香港,化工原料,11
096年01月,基隆港,國外,巴基斯坦,化工原料,5
096年01月,基隆港,國外,泰國,化工原料,1
096年01月,基隆港,國外,越南,化工原料,60
096年01月,基隆港,國外,印度,瀝青,4208
096年01月,基隆港,國外,日本,瀝青,3440
096年01月,基隆港,國外,越南,瀝青,1514
096年01月,基隆港,國內,臺中港,燃料油,24004
096年01月,基隆港,國內,高雄港,燃料油,13841
096年01月,基隆港,國內,花蓮港,燃料油,14538
096年01月,基隆港,國內,蘇澳港,燃料油,9754
096年01月,基隆港,國外,香港,溶劑油,2
096年01月,基隆港,國外,中國大陸,合成樹脂,43
096年01月,基隆港,國外,香港,合成樹脂,15
096年01月,基隆港,國外,泰國,合成樹脂,5
096年01月,基隆港,國外,阿拉伯聯合大公國,鋼材,1
096年01月,基隆港,國外,中美洲其他,鋼材,4
096年01月,基隆港,國外,中國大陸,鋼材,64
096年01月,基隆港,國外,香港,鋼材,1
096年01月,基隆港,國外,印尼,鋼材,1
096年01月,基隆港,國外,伊朗,鋼材,11
096年01月,基隆港,國外,日本,鋼材,20
096年01月,基隆港,國外,馬來西亞,鋼材,1
096年01月,基隆港,國外,新加坡,鋼材,1
096年01月,基隆港,國外,泰國,鋼材,2
096年01月,基隆港,國外,美國,鋼材,12
096年01月,基隆港,國外,巴基斯坦,電力機械及零件,1
096年01月,基隆港,國外,中國大陸,其他,688
096年01月,基隆港,國外,香港,其他,102
096年01月,基隆港,國外,日本,其他,52
096年02月,基隆港,國外,馬來西亞,高嶺土,1
096年02月,基隆港,國外,中國大陸,化工原料,8
096年02月,基隆港,國外,印尼,化工原料,3
096年02月,基隆港,國外,韓國,化工原料,3
096年02月,基隆港,國外,墨西哥,化工原料,2
096年02月,基隆港,國外,南美洲其他,化工原料,4
096年02月,基隆港,國外,美國,化工原料,40
096年02月,基隆港,國外,越南,化工原料,120
096年02月,基隆港,國外,中國大陸,瀝青,3589
096年02月,基隆港,國外,香港,瀝青,7540
096年02月,基隆港,國內,臺中港,燃料油,19272
096年02月,基隆港,國外,中國大陸,潤滑油,1
096年02月,基隆港,國外,中國大陸,合成樹脂,23
096年02月,基隆港,國外,香港,合成樹脂,4
096年02月,基隆港,國外,泰國,合成樹脂,6
096年02月,基隆港,國外,日本,製材,58
096年02月,基隆港,國外,中美洲其他,鋼材,7
096年02月,基隆港,國外,中國大陸,鋼材,10
096年02月,基隆港,國外,香港,鋼材,1
096年02月,基隆港,國外,日本,鋼材,12
096年02月,基隆港,國外,馬來西亞,鋼材,1
096年02月,基隆港,國外,紐西蘭,鋼材,1
096年02月,基隆港,國外,美國,鋼材,22
096年02月,基隆港,國外,中國大陸,其他,622
096年03月,基隆港,國外,阿曼,動物油脂,2
096年03月,基隆港,國外,馬來西亞,高嶺土,1
096年03月,基隆港,國外,中美洲其他,化工原料,20
096年03月,基隆港,國外,智利,化工原料,3
096年03月,基隆港,國外,中國大陸,化工原料,4
096年03月,基隆港,國外,奈及利亞,化工原料,40
096年03月,基隆港,國外,俄羅斯,化工原料,3
096年03月,基隆港,國外,泰國,化工原料,1
096年03月,基隆港,國外,香港,瀝青,3449
096年03月,基隆港,國外,日本,瀝青,4184
096年03月,基隆港,國外,越南,瀝青,3171
096年03月,基隆港,國內,高雄港,燃料油,9686
096年03月,基隆港,國內,花蓮港,燃料油,14471
096年03月,基隆港,國外,中國大陸,溶劑油,2
096年03月,基隆港,國外,香港,溶劑油,2
096年03月,基隆港,國外,中國大陸,合成樹脂,66
096年03月,基隆港,國外,香港,合成樹脂,12
096年03月,基隆港,國外,泰國,合成樹脂,10
096年03月,基隆港,國外,日本,製材,59
096年03月,基隆港,國外,中國大陸,鋼材,38
096年03月,基隆港,國外,香港,鋼材,2
096年03月,基隆港,國外,日本,鋼材,24
096年03月,基隆港,國外,馬來西亞,鋼材,3
096年03月,基隆港,國外,巴基斯坦,鋼材,2
096年03月,基隆港,國外,新加坡,鋼材,2
096年03月,基隆港,國外,泰國,鋼材,2
096年03月,基隆港,國外,美國,鋼材,34
096年03月,基隆港,國外,越南,鋼材,1
096年03月,基隆港,國外,越南,電力機械及零件,17
096年03月,基隆港,國外,中國大陸,其他,1031
096年03月,基隆港,國外,香港,其他,80
096年03月,基隆港,國外,新加坡,其他,124
096年04月,基隆港,國外,中國大陸,化工原料,3
096年04月,基隆港,國外,印尼,化工原料,2
096年04月,基隆港,國外,韓國,化工原料,2
096年04月,基隆港,國外,墨西哥,化工原料,2
096年04月,基隆港,國外,馬來西亞,化工原料,20
096年04月,基隆港,國外,奈及利亞,化工原料,60
096年04月,基隆港,國外,泰國,化工原料,1
096年04月,基隆港,國外,越南,化工原料,60
096年04月,基隆港,國外,香港,瀝青,7498
096年04月,基隆港,國外,越南,瀝青,3961
096年04月,基隆港,國內,臺中港,燃料油,14789
096年04月,基隆港,國內,花蓮港,燃料油,19270
096年04月,基隆港,國外,香港,溶劑油,3
096年04月,基隆港,國外,中國大陸,合成樹脂,74
096年04月,基隆港,國外,香港,合成樹脂,14
096年04月,基隆港,國外,泰國,合成樹脂,6
096年04月,基隆港,國外,日本,製材,26
096年04月,基隆港,國外,中國大陸,鋼材,89
096年04月,基隆港,國外,香港,鋼材,4
096年04月,基隆港,國外,日本,鋼材,40
096年04月,基隆港,國外,馬來西亞,鋼材,4
096年04月,基隆港,國外,秘魯,鋼材,1
096年04月,基隆港,國外,菲律賓,鋼材,1
096年04月,基隆港,國外,巴基斯坦,鋼材,2
096年04月,基隆港,國外,卡達,鋼材,1
096年04月,基隆港,國外,新加坡,鋼材,3
096年04月,基隆港,國外,泰國,鋼材,36
096年04月,基隆港,國外,美國,鋼材,40
096年04月,基隆港,國外,中國大陸,其他,455
096年04月,基隆港,國外,馬來西亞,其他,51
096年04月,基隆港,國外,土耳其,其他,55
096年04月,基隆港,國外,越南,其他,1
096年05月,基隆港,國外,阿曼,動物油脂,1
096年05月,基隆港,國外,馬來西亞,高嶺土,1
096年05月,基隆港,國外,歐洲其他,高嶺土,1
096年05月,基隆港,國外,中美洲其他,化工原料,23
096年05月,基隆港,國外,中國大陸,化工原料,3
096年05月,基隆港,國外,香港,化工原料,1
096年05月,基隆港,國外,墨西哥,化工原料,3
096年05月,基隆港,國外,南美洲其他,化工原料,4
096年05月,基隆港,國外,沙烏地阿拉伯,化工原料,2
096年05月,基隆港,國外,越南,化工原料,40
096年05月,基隆港,國外,香港,瀝青,4069
096年05月,基隆港,國外,日本,瀝青,3807
096年05月,基隆港,國內,臺中港,燃料油,14618
096年05月,基隆港,國內,高雄港,燃料油,9817
096年05月,基隆港,國內,蘇澳港,燃料油,9671
096年05月,基隆港,國外,智利,潤滑油,1
096年05月,基隆港,國外,香港,溶劑油,3
096年05月,基隆港,國外,中國大陸,合成樹脂,89
096年05月,基隆港,國外,香港,合成樹脂,14
096年05月,基隆港,國外,泰國,合成樹脂,20
096年05月,基隆港,國外,日本,製材,31
096年05月,基隆港,國外,亞洲其他,鋼材,1
096年05月,基隆港,國外,中國大陸,鋼材,80
096年05月,基隆港,國外,香港,鋼材,5
096年05月,基隆港,國外,日本,鋼材,27
096年05月,基隆港,國外,馬來西亞,鋼材,2
