時間,國內/國外,地區別,臺灣港口,船種,載貨噸數
098年01月,國外,亞洲其他,基隆港,貨櫃輪,4369
098年01月,國外,阿拉伯聯合大公國,基隆港,貨櫃輪,4310
098年01月,國外,阿根廷,基隆港,貨櫃輪,599
098年01月,國外,澳洲,基隆港,貨櫃輪,1342
098年01月,國外,孟加拉,基隆港,貨櫃輪,1790
098年01月,國外,比利時,基隆港,貨櫃輪,32
098年01月,國外,巴林,基隆港,貨櫃輪,101
098年01月,國外,百慕達,基隆港,貨櫃輪,4
098年01月,國外,巴西,基隆港,貨櫃輪,5561
098年01月,國外,中美洲其他,基隆港,貨櫃輪,3395
098年01月,國外,加拿大,基隆港,貨櫃輪,1006
098年01月,國外,瑞士,基隆港,貨櫃輪,2
098年01月,國外,象牙海岸,基隆港,貨櫃輪,14
098年01月,國外,智利,基隆港,貨櫃輪,2424
098年01月,國外,中國大陸,基隆港,貨櫃輪,101124
098年01月,國外,德國,基隆港,貨櫃輪,25
098年01月,國外,多明尼加,基隆港,貨櫃輪,268
098年01月,國外,埃及,基隆港,貨櫃輪,365
098年01月,國外,西班牙,基隆港,貨櫃輪,3
098年01月,國外,非洲其他,基隆港,貨櫃輪,793
098年01月,國外,芬蘭,基隆港,貨櫃輪,4
098年01月,國外,法國,基隆港,貨櫃輪,15
098年01月,國外,英國,基隆港,貨櫃輪,17
098年01月,國外,香港,基隆港,貨櫃輪,45725
098年01月,國外,印尼,基隆港,貨櫃輪,8020
098年01月,國外,印度,基隆港,貨櫃輪,7126
098年01月,國外,伊朗,基隆港,貨櫃輪,1771
098年01月,國外,義大利,基隆港,貨櫃輪,44
098年01月,國外,約旦,基隆港,貨櫃輪,1186
098年01月,國外,日本,基隆港,貨櫃輪,43097
098年01月,國外,韓國,基隆港,貨櫃輪,8048
098年01月,國外,科威特,基隆港,貨櫃輪,825
098年01月,國外,斯里蘭卡,基隆港,貨櫃輪,14
098年01月,國外,墨西哥,基隆港,貨櫃輪,6518
098年01月,國外,馬來西亞,基隆港,貨櫃輪,11189
098年01月,國外,奈及利亞,基隆港,貨櫃輪,607
098年01月,國外,荷蘭,基隆港,貨櫃輪,41
098年01月,國外,紐西蘭,基隆港,貨櫃輪,1967
098年01月,國外,阿曼,基隆港,貨櫃輪,285
098年01月,國外,大洋洲其他,基隆港,貨櫃輪,138
098年01月,國外,巴拿馬,基隆港,貨櫃輪,125
098年01月,國外,秘魯,基隆港,貨櫃輪,6866
098年01月,國外,菲律賓,基隆港,貨櫃輪,9777
098年01月,國外,巴基斯坦,基隆港,貨櫃輪,2305
098年01月,國外,波多黎各,基隆港,貨櫃輪,33
098年01月,國外,卡達,基隆港,貨櫃輪,556
098年01月,國外,俄羅斯,基隆港,貨櫃輪,242
098年01月,國外,南美洲其他,基隆港,貨櫃輪,6677
098年01月,國外,沙烏地阿拉伯,基隆港,貨櫃輪,5936
098年01月,國外,瑞典,基隆港,貨櫃輪,0
098年01月,國外,新加坡,基隆港,貨櫃輪,4254
098年01月,國外,敘利亞,基隆港,貨櫃輪,257
098年01月,國外,泰國,基隆港,貨櫃輪,12104
098年01月,國外,土耳其,基隆港,貨櫃輪,199
098年01月,國外,歐洲其他,基隆港,貨櫃輪,115
098年01月,國外,烏克蘭,基隆港,貨櫃輪,40
098年01月,國外,美國,基隆港,貨櫃輪,16005
098年01月,國外,委內瑞拉,基隆港,貨櫃輪,409
098年01月,國外,越南,基隆港,貨櫃輪,17649
098年01月,國外,葉門,基隆港,貨櫃輪,56
098年01月,國外,南非,基隆港,貨櫃輪,310
098年01月,國內,臺中港,基隆港,油輪,19045
098年01月,國外,中國大陸,基隆港,油輪,4186
098年01月,國外,日本,基隆港,散裝輪,0
098年01月,國外,南美洲其他,基隆港,散裝輪,0
098年01月,國內,金門港,基隆港,乾貨輪,366
098年01月,國內,馬祖港,基隆港,乾貨輪,5155
098年01月,國內,東引港,基隆港,乾貨輪,653
098年01月,國外,中國大陸,基隆港,乾貨輪,5156
098年01月,國外,日本,基隆港,乾貨輪,210
098年01月,國外,紐西蘭,基隆港,乾貨輪,606
098年01月,國外,大洋洲其他,基隆港,乾貨輪,41
098年02月,國外,亞洲其他,基隆港,貨櫃輪,6555
098年02月,國外,阿拉伯聯合大公國,基隆港,貨櫃輪,3770
098年02月,國外,阿根廷,基隆港,貨櫃輪,535
098年02月,國外,澳洲,基隆港,貨櫃輪,2130
098年02月,國外,孟加拉,基隆港,貨櫃輪,1725
098年02月,國外,巴林,基隆港,貨櫃輪,47
098年02月,國外,百慕達,基隆港,貨櫃輪,7
098年02月,國外,巴西,基隆港,貨櫃輪,4362
098年02月,國外,中美洲其他,基隆港,貨櫃輪,5519
098年02月,國外,加拿大,基隆港,貨櫃輪,634
098年02月,國外,瑞士,基隆港,貨櫃輪,9
098年02月,國外,智利,基隆港,貨櫃輪,1796
098年02月,國外,中國大陸,基隆港,貨櫃輪,150546
098年02月,國外,德國,基隆港,貨櫃輪,142
098年02月,國外,多明尼加,基隆港,貨櫃輪,296
098年02月,國外,埃及,基隆港,貨櫃輪,284
098年02月,國外,西班牙,基隆港,貨櫃輪,3
098年02月,國外,非洲其他,基隆港,貨櫃輪,509
098年02月,國外,芬蘭,基隆港,貨櫃輪,5
098年02月,國外,法國,基隆港,貨櫃輪,5
098年02月,國外,英國,基隆港,貨櫃輪,29
098年02月,國外,香港,基隆港,貨櫃輪,39866
098年02月,國外,印尼,基隆港,貨櫃輪,8304
098年02月,國外,印度,基隆港,貨櫃輪,7213
098年02月,國外,伊朗,基隆港,貨櫃輪,1207
098年02月,國外,義大利,基隆港,貨櫃輪,32
098年02月,國外,約旦,基隆港,貨櫃輪,724
098年02月,國外,日本,基隆港,貨櫃輪,39128
098年02月,國外,北韓,基隆港,貨櫃輪,10
098年02月,國外,韓國,基隆港,貨櫃輪,9518
098年02月,國外,科威特,基隆港,貨櫃輪,583
098年02月,國外,斯里蘭卡,基隆港,貨櫃輪,41
098年02月,國外,馬紹爾群島,基隆港,貨櫃輪,6
098年02月,國外,墨西哥,基隆港,貨櫃輪,4907
098年02月,國外,馬來西亞,基隆港,貨櫃輪,11239
098年02月,國外,奈及利亞,基隆港,貨櫃輪,393
098年02月,國外,荷蘭,基隆港,貨櫃輪,23
098年02月,國外,紐西蘭,基隆港,貨櫃輪,2171
098年02月,國外,阿曼,基隆港,貨櫃輪,66
098年02月,國外,大洋洲其他,基隆港,貨櫃輪,87
098年02月,國外,巴拿馬,基隆港,貨櫃輪,64
098年02月,國外,秘魯,基隆港,貨櫃輪,4430
098年02月,國外,菲律賓,基隆港,貨櫃輪,12997
098年02月,國外,巴基斯坦,基隆港,貨櫃輪,3535
098年02月,國外,波多黎各,基隆港,貨櫃輪,10
098年02月,國外,卡達,基隆港,貨櫃輪,230
098年02月,國外,俄羅斯,基隆港,貨櫃輪,195
098年02月,國外,南美洲其他,基隆港,貨櫃輪,5803
098年02月,國外,沙烏地阿拉伯,基隆港,貨櫃輪,2748
098年02月,國外,瑞典,基隆港,貨櫃輪,8
098年02月,國外,新加坡,基隆港,貨櫃輪,5485
098年02月,國外,敘利亞,基隆港,貨櫃輪,65
098年02月,國外,泰國,基隆港,貨櫃輪,11657
098年02月,國外,土耳其,基隆港,貨櫃輪,89
098年02月,國外,歐洲其他,基隆港,貨櫃輪,148
098年02月,國外,烏克蘭,基隆港,貨櫃輪,0
098年02月,國外,美國,基隆港,貨櫃輪,7402
098年02月,國外,委內瑞拉,基隆港,貨櫃輪,141
098年02月,國外,越南,基隆港,貨櫃輪,22936
098年02月,國外,葉門,基隆港,貨櫃輪,3
098年02月,國外,南非,基隆港,貨櫃輪,895
098年02月,國外,中國大陸,基隆港,油輪,3921
098年02月,國內,金門港,基隆港,乾貨輪,1383
098年02月,國內,馬祖港,基隆港,乾貨輪,2952
098年02月,國內,東引港,基隆港,乾貨輪,910
098年02月,國外,中國大陸,基隆港,乾貨輪,147
098年02月,國外,日本,基隆港,乾貨輪,2917
098年02月,國外,紐西蘭,基隆港,乾貨輪,16
098年02月,國外,大洋洲其他,基隆港,乾貨輪,18
098年02月,國外,沙烏地阿拉伯,基隆港,乾貨輪,0
098年03月,國外,亞洲其他,基隆港,貨櫃輪,6100
098年03月,國外,阿拉伯聯合大公國,基隆港,貨櫃輪,6300
098年03月,國外,阿根廷,基隆港,貨櫃輪,1054
098年03月,國外,澳洲,基隆港,貨櫃輪,1082
098年03月,國外,孟加拉,基隆港,貨櫃輪,2911
098年03月,國外,比利時,基隆港,貨櫃輪,2
098年03月,國外,巴林,基隆港,貨櫃輪,66
098年03月,國外,巴西,基隆港,貨櫃輪,9072
098年03月,國外,中美洲其他,基隆港,貨櫃輪,4911
098年03月,國外,加拿大,基隆港,貨櫃輪,474
098年03月,國外,瑞士,基隆港,貨櫃輪,6
098年03月,國外,象牙海岸,基隆港,貨櫃輪,15
098年03月,國外,智利,基隆港,貨櫃輪,3689
098年03月,國外,中國大陸,基隆港,貨櫃輪,190269
098年03月,國外,德國,基隆港,貨櫃輪,19
098年03月,國外,多明尼加,基隆港,貨櫃輪,149
098年03月,國外,埃及,基隆港,貨櫃輪,547
098年03月,國外,西班牙,基隆港,貨櫃輪,35
098年03月,國外,非洲其他,基隆港,貨櫃輪,689
098年03月,國外,法國,基隆港,貨櫃輪,54
098年03月,國外,英國,基隆港,貨櫃輪,15
098年03月,國外,香港,基隆港,貨櫃輪,67840
098年03月,國外,印尼,基隆港,貨櫃輪,11044
098年03月,國外,印度,基隆港,貨櫃輪,8159
098年03月,國外,伊朗,基隆港,貨櫃輪,657
098年03月,國外,義大利,基隆港,貨櫃輪,40
098年03月,國外,約旦,基隆港,貨櫃輪,355
098年03月,國外,日本,基隆港,貨櫃輪,35096
098年03月,國外,韓國,基隆港,貨櫃輪,13504
098年03月,國外,科威特,基隆港,貨櫃輪,886
098年03月,國外,斯里蘭卡,基隆港,貨櫃輪,72
098年03月,國外,墨西哥,基隆港,貨櫃輪,6586
098年03月,國外,馬來西亞,基隆港,貨櫃輪,12744
098年03月,國外,奈及利亞,基隆港,貨櫃輪,732
098年03月,國外,荷蘭,基隆港,貨櫃輪,12
098年03月,國外,紐西蘭,基隆港,貨櫃輪,2348
098年03月,國外,阿曼,基隆港,貨櫃輪,469
098年03月,國外,大洋洲其他,基隆港,貨櫃輪,209
098年03月,國外,巴拿馬,基隆港,貨櫃輪,42
098年03月,國外,秘魯,基隆港,貨櫃輪,9103
098年03月,國外,菲律賓,基隆港,貨櫃輪,13449
098年03月,國外,巴基斯坦,基隆港,貨櫃輪,8173
098年03月,國外,波多黎各,基隆港,貨櫃輪,0
098年03月,國外,卡達,基隆港,貨櫃輪,257
098年03月,國外,俄羅斯,基隆港,貨櫃輪,447
098年03月,國外,南美洲其他,基隆港,貨櫃輪,5174
098年03月,國外,沙烏地阿拉伯,基隆港,貨櫃輪,3697
098年03月,國外,瑞典,基隆港,貨櫃輪,0
098年03月,國外,新加坡,基隆港,貨櫃輪,8181
098年03月,國外,敘利亞,基隆港,貨櫃輪,53
098年03月,國外,泰國,基隆港,貨櫃輪,17645
098年03月,國外,土耳其,基隆港,貨櫃輪,63
098年03月,國外,歐洲其他,基隆港,貨櫃輪,365
098年03月,國外,烏克蘭,基隆港,貨櫃輪,84
098年03月,國外,美國,基隆港,貨櫃輪,28125
098年03月,國外,委內瑞拉,基隆港,貨櫃輪,118
098年03月,國外,越南,基隆港,貨櫃輪,30708
098年03月,國外,葉門,基隆港,貨櫃輪,123
098年03月,國外,南非,基隆港,貨櫃輪,2567
098年03月,國內,臺中港,基隆港,油輪,20604
098年03月,國內,高雄港,基隆港,油輪,19594
098年03月,國內,蘇澳港,基隆港,油輪,10138
098年03月,國外,中國大陸,基隆港,油輪,6481
098年03月,國外,香港,基隆港,油輪,3887
098年03月,國外,日本,基隆港,油輪,0
098年03月,國外,泰國,基隆港,油輪,4788
098年03月,國內,金門港,基隆港,乾貨輪,711
098年03月,國內,馬祖港,基隆港,乾貨輪,7402
098年03月,國內,東引港,基隆港,乾貨輪,1129
098年03月,國內,環島其他,基隆港,乾貨輪,396
098年03月,國外,中國大陸,基隆港,乾貨輪,494
098年03月,國外,紐西蘭,基隆港,乾貨輪,119
098年03月,國外,大洋洲其他,基隆港,乾貨輪,13
098年03月,國外,沙烏地阿拉伯,基隆港,乾貨輪,0
098年03月,國外,越南,基隆港,乾貨輪,4861
098年04月,國外,亞洲其他,基隆港,貨櫃輪,7373
098年04月,國外,阿拉伯聯合大公國,基隆港,貨櫃輪,4975
098年04月,國外,阿根廷,基隆港,貨櫃輪,543
098年04月,國外,澳洲,基隆港,貨櫃輪,1256
098年04月,國外,孟加拉,基隆港,貨櫃輪,3089
098年04月,國外,比利時,基隆港,貨櫃輪,37
098年04月,國外,巴林,基隆港,貨櫃輪,124
098年04月,國外,百慕達,基隆港,貨櫃輪,4
098年04月,國外,巴西,基隆港,貨櫃輪,4554
098年04月,國外,中美洲其他,基隆港,貨櫃輪,1649
098年04月,國外,加拿大,基隆港,貨櫃輪,95
098年04月,國外,瑞士,基隆港,貨櫃輪,24
098年04月,國外,智利,基隆港,貨櫃輪,2765
098年04月,國外,中國大陸,基隆港,貨櫃輪,172543
098年04月,國外,德國,基隆港,貨櫃輪,13
098年04月,國外,多明尼加,基隆港,貨櫃輪,68
098年04月,國外,愛沙尼亞,基隆港,貨櫃輪,1
098年04月,國外,埃及,基隆港,貨櫃輪,377
098年04月,國外,西班牙,基隆港,貨櫃輪,27
098年04月,國外,非洲其他,基隆港,貨櫃輪,1006
098年04月,國外,芬蘭,基隆港,貨櫃輪,0
098年04月,國外,法國,基隆港,貨櫃輪,12
098年04月,國外,英國,基隆港,貨櫃輪,14
098年04月,國外,香港,基隆港,貨櫃輪,48728
098年04月,國外,印尼,基隆港,貨櫃輪,11468
098年04月,國外,印度,基隆港,貨櫃輪,6790
098年04月,國外,伊朗,基隆港,貨櫃輪,1065
098年04月,國外,義大利,基隆港,貨櫃輪,125
098年04月,國外,約旦,基隆港,貨櫃輪,535
098年04月,國外,日本,基隆港,貨櫃輪,32503
098年04月,國外,韓國,基隆港,貨櫃輪,11379
098年04月,國外,科威特,基隆港,貨櫃輪,715
098年04月,國外,斯里蘭卡,基隆港,貨櫃輪,82
098年04月,國外,墨西哥,基隆港,貨櫃輪,5083
098年04月,國外,馬來西亞,基隆港,貨櫃輪,12159
098年04月,國外,奈及利亞,基隆港,貨櫃輪,2358
098年04月,國外,荷蘭,基隆港,貨櫃輪,43
098年04月,國外,紐西蘭,基隆港,貨櫃輪,1953
098年04月,國外,阿曼,基隆港,貨櫃輪,315
098年04月,國外,大洋洲其他,基隆港,貨櫃輪,87
098年04月,國外,巴拿馬,基隆港,貨櫃輪,35
098年04月,國外,秘魯,基隆港,貨櫃輪,7656
098年04月,國外,菲律賓,基隆港,貨櫃輪,9546
098年04月,國外,巴基斯坦,基隆港,貨櫃輪,5844
098年04月,國外,波多黎各,基隆港,貨櫃輪,19
098年04月,國外,卡達,基隆港,貨櫃輪,123
098年04月,國外,俄羅斯,基隆港,貨櫃輪,298
098年04月,國外,南美洲其他,基隆港,貨櫃輪,1804
098年04月,國外,沙烏地阿拉伯,基隆港,貨櫃輪,3125
098年04月,國外,瑞典,基隆港,貨櫃輪,0
098年04月,國外,新加坡,基隆港,貨櫃輪,7254
098年04月,國外,敘利亞,基隆港,貨櫃輪,5
098年04月,國外,泰國,基隆港,貨櫃輪,12038
098年04月,國外,土耳其,基隆港,貨櫃輪,278
098年04月,國外,歐洲其他,基隆港,貨櫃輪,329
098年04月,國外,烏克蘭,基隆港,貨櫃輪,119
098年04月,國外,美國,基隆港,貨櫃輪,23794
098年04月,國外,委內瑞拉,基隆港,貨櫃輪,72
098年04月,國外,越南,基隆港,貨櫃輪,24595
098年04月,國外,葉門,基隆港,貨櫃輪,667
098年04月,國外,南非,基隆港,貨櫃輪,1829
098年04月,國內,臺中港,基隆港,油輪,18797
098年04月,國內,花蓮港,基隆港,油輪,10104
098年04月,國外,中國大陸,基隆港,油輪,7050
098年04月,國外,香港,基隆港,油輪,7234
098年04月,國內,金門港,基隆港,乾貨輪,359
098年04月,國內,馬祖港,基隆港,乾貨輪,6132
098年04月,國內,東引港,基隆港,乾貨輪,871
098年04月,國內,環島其他,基隆港,乾貨輪,1320
098年04月,國外,紐西蘭,基隆港,乾貨輪,88
098年04月,國外,大洋洲其他,基隆港,乾貨輪,79
098年04月,國外,沙烏地阿拉伯,基隆港,乾貨輪,0
098年04月,國外,美國,基隆港,乾貨輪,81
098年05月,國外,亞洲其他,基隆港,貨櫃輪,5985
098年05月,國外,阿拉伯聯合大公國,基隆港,貨櫃輪,6254
098年05月,國外,阿根廷,基隆港,貨櫃輪,521
098年05月,國外,澳洲,基隆港,貨櫃輪,1588
098年05月,國外,孟加拉,基隆港,貨櫃輪,1810
098年05月,國外,比利時,基隆港,貨櫃輪,42
098年05月,國外,巴林,基隆港,貨櫃輪,266
098年05月,國外,巴西,基隆港,貨櫃輪,8656
098年05月,國外,中美洲其他,基隆港,貨櫃輪,2855
098年05月,國外,加拿大,基隆港,貨櫃輪,193
098年05月,國外,瑞士,基隆港,貨櫃輪,6
098年05月,國外,智利,基隆港,貨櫃輪,2415
098年05月,國外,中國大陸,基隆港,貨櫃輪,173671
098年05月,國外,德國,基隆港,貨櫃輪,337
098年05月,國外,多明尼加,基隆港,貨櫃輪,27
098年05月,國外,愛沙尼亞,基隆港,貨櫃輪,76
098年05月,國外,埃及,基隆港,貨櫃輪,72
098年05月,國外,西班牙,基隆港,貨櫃輪,573
098年05月,國外,非洲其他,基隆港,貨櫃輪,1640
098年05月,國外,芬蘭,基隆港,貨櫃輪,23
098年05月,國外,法國,基隆港,貨櫃輪,69
098年05月,國外,英國,基隆港,貨櫃輪,53
098年05月,國外,香港,基隆港,貨櫃輪,62533
098年05月,國外,印尼,基隆港,貨櫃輪,13715
098年05月,國外,印度,基隆港,貨櫃輪,7561
098年05月,國外,伊朗,基隆港,貨櫃輪,1115
098年05月,國外,義大利,基隆港,貨櫃輪,424
098年05月,國外,約旦,基隆港,貨櫃輪,152
098年05月,國外,日本,基隆港,貨櫃輪,44216
098年05月,國外,韓國,基隆港,貨櫃輪,10795
098年05月,國外,科威特,基隆港,貨櫃輪,1525
098年05月,國外,斯里蘭卡,基隆港,貨櫃輪,26
098年05月,國外,墨西哥,基隆港,貨櫃輪,5143
098年05月,國外,馬來西亞,基隆港,貨櫃輪,10357
098年05月,國外,奈及利亞,基隆港,貨櫃輪,1573
098年05月,國外,荷蘭,基隆港,貨櫃輪,38
098年05月,國外,紐西蘭,基隆港,貨櫃輪,2009
098年05月,國外,阿曼,基隆港,貨櫃輪,257
098年05月,國外,大洋洲其他,基隆港,貨櫃輪,268
098年05月,國外,巴拿馬,基隆港,貨櫃輪,11
098年05月,國外,秘魯,基隆港,貨櫃輪,4670
098年05月,國外,菲律賓,基隆港,貨櫃輪,12464
098年05月,國外,巴基斯坦,基隆港,貨櫃輪,5025
098年05月,國外,卡達,基隆港,貨櫃輪,320
098年05月,國外,俄羅斯,基隆港,貨櫃輪,616
098年05月,國外,南美洲其他,基隆港,貨櫃輪,6661
098年05月,國外,沙烏地阿拉伯,基隆港,貨櫃輪,2902
098年05月,國外,新加坡,基隆港,貨櫃輪,7742
098年05月,國外,敘利亞,基隆港,貨櫃輪,55
098年05月,國外,泰國,基隆港,貨櫃輪,14384
098年05月,國外,土耳其,基隆港,貨櫃輪,635
098年05月,國外,歐洲其他,基隆港,貨櫃輪,745
098年05月,國外,烏克蘭,基隆港,貨櫃輪,139
098年05月,國外,美國,基隆港,貨櫃輪,23395
098年05月,國外,委內瑞拉,基隆港,貨櫃輪,29
098年05月,國外,越南,基隆港,貨櫃輪,25366
098年05月,國外,葉門,基隆港,貨櫃輪,221
098年05月,國外,南非,基隆港,貨櫃輪,1459
098年05月,國內,花蓮港,基隆港,油輪,8342
098年05月,國內,蘇澳港,基隆港,油輪,3997
098年05月,國外,香港,基隆港,油輪,3529
098年05月,國內,金門港,基隆港,乾貨輪,1811
098年05月,國內,馬祖港,基隆港,乾貨輪,6637
