時間,地區別,臺灣港口,空實櫃別,貨櫃尺寸,貨櫃量
096年01月,亞洲其他,基隆港,實櫃,20呎,400
096年01月,亞洲其他,基隆港,實櫃,40呎,143
096年01月,阿拉伯聯合大公國,基隆港,實櫃,20呎,271
096年01月,阿拉伯聯合大公國,基隆港,實櫃,40呎,118
096年01月,阿根廷,基隆港,實櫃,20呎,63
096年01月,阿根廷,基隆港,實櫃,40呎,7
096年01月,澳洲,基隆港,實櫃,20呎,219
096年01月,澳洲,基隆港,實櫃,40呎,45
096年01月,孟加拉,基隆港,實櫃,20呎,175
096年01月,孟加拉,基隆港,實櫃,40呎,50
096年01月,比利時,基隆港,實櫃,20呎,22
096年01月,比利時,基隆港,實櫃,40呎,2
096年01月,巴林,基隆港,實櫃,20呎,2
096年01月,百慕達,基隆港,實櫃,20呎,4
096年01月,巴西,基隆港,實櫃,20呎,330
096年01月,巴西,基隆港,實櫃,40呎,42
096年01月,中美洲其他,基隆港,實櫃,20呎,288
096年01月,中美洲其他,基隆港,實櫃,40呎,84
096年01月,加拿大,基隆港,實櫃,20呎,256
096年01月,加拿大,基隆港,實櫃,40呎,68
096年01月,加拿大,基隆港,實櫃,45呎,2
096年01月,瑞士,基隆港,實櫃,20呎,3
096年01月,象牙海岸,基隆港,實櫃,20呎,1
096年01月,智利,基隆港,實櫃,20呎,149
096年01月,智利,基隆港,實櫃,40呎,76
096年01月,中國大陸,基隆港,實櫃,20呎,10867
096年01月,中國大陸,基隆港,實櫃,40呎,5172
096年01月,中國大陸,基隆港,實櫃,45呎,16
096年01月,德國,基隆港,實櫃,20呎,25
096年01月,德國,基隆港,實櫃,40呎,13
096年01月,多明尼加,基隆港,實櫃,20呎,38
096年01月,多明尼加,基隆港,實櫃,40呎,6
096年01月,埃及,基隆港,實櫃,20呎,50
096年01月,埃及,基隆港,實櫃,40呎,10
096年01月,非洲其他,基隆港,實櫃,20呎,58
096年01月,非洲其他,基隆港,實櫃,40呎,25
096年01月,芬蘭,基隆港,實櫃,20呎,2
096年01月,法國,基隆港,實櫃,20呎,2
096年01月,英國,基隆港,實櫃,20呎,1
096年01月,英國,基隆港,實櫃,40呎,2
096年01月,赤道幾內亞,基隆港,實櫃,40呎,1
096年01月,香港,基隆港,實櫃,20呎,4070
096年01月,香港,基隆港,實櫃,40呎,1508
096年01月,香港,基隆港,實櫃,45呎,1
096年01月,印尼,基隆港,實櫃,20呎,552
096年01月,印尼,基隆港,實櫃,40呎,260
096年01月,印度,基隆港,實櫃,20呎,256
096年01月,印度,基隆港,實櫃,40呎,101
096年01月,伊朗,基隆港,實櫃,20呎,44
096年01月,伊朗,基隆港,實櫃,40呎,90
096年01月,伊朗,基隆港,實櫃,45呎,1
096年01月,義大利,基隆港,實櫃,20呎,3
096年01月,約旦,基隆港,實櫃,20呎,38
096年01月,約旦,基隆港,實櫃,40呎,54
096年01月,日本,基隆港,實櫃,20呎,3530
096年01月,日本,基隆港,實櫃,40呎,1245
096年01月,日本,基隆港,實櫃,45呎,2
096年01月,北韓,基隆港,實櫃,40呎,1
096年01月,韓國,基隆港,實櫃,20呎,1100
096年01月,韓國,基隆港,實櫃,40呎,454
096年01月,科威特,基隆港,實櫃,20呎,32
096年01月,科威特,基隆港,實櫃,40呎,3
096年01月,科威特,基隆港,實櫃,45呎,1
096年01月,斯里蘭卡,基隆港,實櫃,20呎,16
096年01月,斯里蘭卡,基隆港,實櫃,40呎,7
096年01月,墨西哥,基隆港,實櫃,20呎,376
096年01月,墨西哥,基隆港,實櫃,40呎,269
096年01月,馬來西亞,基隆港,實櫃,20呎,632
096年01月,馬來西亞,基隆港,實櫃,40呎,280
096年01月,馬來西亞,基隆港,實櫃,45呎,4
096年01月,奈及利亞,基隆港,實櫃,20呎,27
096年01月,奈及利亞,基隆港,實櫃,40呎,7
096年01月,荷蘭,基隆港,實櫃,20呎,16
096年01月,荷蘭,基隆港,實櫃,40呎,8
096年01月,紐西蘭,基隆港,實櫃,20呎,238
096年01月,紐西蘭,基隆港,實櫃,40呎,23
096年01月,阿曼,基隆港,實櫃,20呎,4
096年01月,阿曼,基隆港,實櫃,40呎,2
096年01月,大洋洲其他,基隆港,實櫃,20呎,22
096年01月,大洋洲其他,基隆港,實櫃,40呎,1
096年01月,巴拿馬,基隆港,實櫃,20呎,63
096年01月,巴拿馬,基隆港,實櫃,40呎,4
096年01月,秘魯,基隆港,實櫃,20呎,186
096年01月,秘魯,基隆港,實櫃,40呎,32
096年01月,菲律賓,基隆港,實櫃,20呎,668
096年01月,菲律賓,基隆港,實櫃,40呎,426
096年01月,菲律賓,基隆港,實櫃,45呎,7
096年01月,巴基斯坦,基隆港,實櫃,20呎,156
096年01月,巴基斯坦,基隆港,實櫃,40呎,41
096年01月,波多黎各,基隆港,實櫃,20呎,20
096年01月,波多黎各,基隆港,實櫃,40呎,1
096年01月,卡達,基隆港,實櫃,20呎,11
096年01月,俄羅斯,基隆港,實櫃,20呎,86
096年01月,俄羅斯,基隆港,實櫃,40呎,16
096年01月,南美洲其他,基隆港,實櫃,20呎,286
096年01月,南美洲其他,基隆港,實櫃,40呎,87
096年01月,沙烏地阿拉伯,基隆港,實櫃,20呎,331
096年01月,沙烏地阿拉伯,基隆港,實櫃,40呎,39
096年01月,沙烏地阿拉伯,基隆港,實櫃,45呎,3
096年01月,新加坡,基隆港,實櫃,20呎,624
096年01月,新加坡,基隆港,實櫃,40呎,192
096年01月,新加坡,基隆港,實櫃,45呎,10
096年01月,敘利亞,基隆港,實櫃,20呎,8
096年01月,敘利亞,基隆港,實櫃,40呎,7
