時間,進港/出港,臺灣港口,貨物別,地區別,重量(公噸)
096年01月,進港,基隆港,動物產品,環島其他,120
096年01月,出港,基隆港,動物產品,環島其他,96
096年01月,出港,基隆港,礦產品,臺中港,24004
096年01月,進港,基隆港,礦產品,高雄港,120005
096年01月,出港,基隆港,礦產品,高雄港,13841
096年01月,進港,基隆港,礦產品,花蓮港,427667
096年01月,出港,基隆港,礦產品,花蓮港,14538
096年01月,出港,基隆港,礦產品,蘇澳港,9754
096年01月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,40
096年01月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,972
096年01月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,336
096年01月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,4802
096年01月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1103
096年02月,出港,基隆港,礦產品,臺中港,19272
096年02月,進港,基隆港,礦產品,高雄港,227690
096年02月,進港,基隆港,礦產品,花蓮港,402526
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",高雄港,272
096年02月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,394
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,514
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,3303
096年02月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,755
096年03月,進港,基隆港,動物產品,環島其他,2832
096年03月,出港,基隆港,動物產品,環島其他,3036
096年03月,進港,基隆港,礦產品,高雄港,132435
096年03月,出港,基隆港,礦產品,高雄港,9686
096年03月,進港,基隆港,礦產品,花蓮港,386107
096年03月,出港,基隆港,礦產品,花蓮港,14471
096年03月,進港,基隆港,"家具玩具運動用品,雜項製品",金門港,356
096年03月,出港,基隆港,"家具玩具運動用品,雜項製品",金門港,565
096年03月,進港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,50
096年03月,出港,基隆港,"家具玩具運動用品,雜項製品",馬祖港,5534
096年03月,出港,基隆港,"家具玩具運動用品,雜項製品",東引港,1477
096年04月,進港,基隆港,動物產品,環島其他,3444
096年04月,出港,基隆港,動物產品,環島其他,3456
096年04月,出港,基隆港,礦產品,臺中港,14789
096年04月,進港,基隆港,礦產品,高雄港,107819
096年04月,進港,基隆港,礦產品,花蓮港,494693
096年04月,出港,基隆港,礦產品,花蓮港,19270
