時間,臺灣港口,貨物別,地區別,重量(公噸)
098年01月,基隆港,瀝青,廣東廣州,4186
098年03月,基隆港,瀝青,廣東廣州,3265
098年04月,基隆港,瀝青,廣東廣州,2937
098年04月,基隆港,瀝青,江蘇江陰,4113
098年09月,基隆港,其他,廣東蛇口,46
098年10月,基隆港,其他,山東青島,3
099年04月,基隆港,鋼材,天津,2
099年06月,基隆港,其他,廣東東莞,62
099年08月,基隆港,其他,廣東三山,363
099年11月,基隆港,鋼材,上海,1
099年11月,基隆港,其他,廣東中山,62
100年01月,基隆港,鋼材,天津,6
100年01月,基隆港,其他,廣東麻涌,142
100年03月,基隆港,其他,天津新港,10
100年04月,基隆港,其他,天津新港,5
100年05月,基隆港,鋼材,天津,7
100年05月,基隆港,其他,天津新港,17
100年06月,基隆港,其他,廣東沙田,208
100年07月,基隆港,鋼材,天津,5
101年11月,基隆港,鋼材,上海,1
101年12月,基隆港,其他,上海,1
102年01月,基隆港,鋼材,上海,1
102年01月,基隆港,其他,上海,1
102年12月,基隆港,鋼材,上海,5
103年03月,基隆港,鋼材,上海,1
103年05月,基隆港,製材,廣東東莞,2
103年05月,基隆港,其他,上海,1
103年07月,基隆港,製材,廣東東莞,2
104年01月,基隆港,薪材,福建馬尾,1
104年01月,基隆港,其他,上海浦東機場,1
104年08月,基隆港,製材,廣東東莞,1
104年10月,基隆港,製材,廣東東莞,1
104年10月,基隆港,其他,江蘇昆山,4
104年10月,基隆港,其他,浙江寧波,1
104年11月,基隆港,其他,江蘇昆山,6
104年11月,基隆港,其他,浙江寧波,1
104年11月,基隆港,其他,天津新港,146
104年11月,基隆港,其他,福建廈門,1
104年12月,基隆港,製材,廣東東莞,1
104年12月,基隆港,其他,江蘇昆山,3
105年01月,基隆港,鋼材,遼寧大連,1
105年02月,基隆港,其他,浙江寧波,2
105年03月,基隆港,製材,廣東東莞,2
105年03月,基隆港,其他,江蘇昆山,2
105年03月,基隆港,其他,上海,3
105年04月,基隆港,其他,江蘇昆山,2
105年04月,基隆港,其他,上海,3
105年05月,基隆港,鋼材,遼寧大連,1
105年05月,基隆港,其他,廣東黃埔,55
105年05月,基隆港,其他,江蘇昆山,2
105年05月,基隆港,其他,上海,1
105年05月,基隆港,其他,福建廈門,1
105年06月,基隆港,其他,江蘇昆山,2
105年07月,基隆港,其他,江蘇昆山,2
105年08月,基隆港,其他,江蘇昆山,2
105年08月,基隆港,其他,上海,1
105年08月,基隆港,其他,天津新港,2
105年09月,基隆港,其他,江蘇昆山,2
105年10月,基隆港,其他,江蘇昆山,3
105年11月,基隆港,其他,江蘇昆山,2
105年12月,基隆港,鋼材,遼寧大連,2
105年12月,基隆港,其他,江蘇昆山,2
106年01月,基隆港,鋼材,遼寧大連,1
106年01月,基隆港,其他,江蘇昆山,3
106年03月,基隆港,其他,江蘇昆山,2
106年04月,基隆港,其他,江蘇昆山,1
106年04月,基隆港,其他,廣東蛇口,1
106年05月,基隆港,其他,江蘇昆山,1
106年06月,基隆港,鋼材,遼寧大連,1
106年06月,基隆港,其他,江蘇昆山,1
106年06月,基隆港,其他,上海,6
106年07月,基隆港,其他,江蘇昆山,2
106年08月,基隆港,其他,江蘇昆山,3
106年09月,基隆港,其他,江蘇昆山,3
106年10月,基隆港,其他,江蘇昆山,3
106年11月,基隆港,鋼材,遼寧大連,1
106年11月,基隆港,其他,江蘇昆山,2
106年11月,基隆港,其他,上海,1
106年12月,基隆港,其他,江蘇昆山,1
106年12月,基隆港,其他,天津新港,3
107年01月,基隆港,其他,江蘇昆山,1
107年03月,基隆港,其他,江蘇昆山,1
107年04月,基隆港,其他,江蘇昆山,1
107年05月,基隆港,其他,江蘇昆山,1
107年06月,基隆港,其他,廣東黃埔,3
107年06月,基隆港,其他,江蘇昆山,1
107年07月,基隆港,鋼材,遼寧大連,1
107年07月,基隆港,其他,上海,2
107年08月,基隆港,其他,江蘇昆山,1
107年08月,基隆港,其他,天津新港,1
107年09月,基隆港,其他,江蘇昆山,2
107年09月,基隆港,其他,山東青島,1
107年10月,基隆港,鋼材,天津新港,1
107年12月,基隆港,其他,廣東黃埔新港,5
107年12月,基隆港,其他,天津新港,1
108年02月,基隆港,其他,廣東黃埔新港,4
108年02月,基隆港,其他,山東青島,1
108年03月,基隆港,鋼材,天津新港,1
108年04月,基隆港,其他,廣東黃埔,3
108年04月,基隆港,其他,福建廈門,5
108年06月,基隆港,其他,廣東黃埔,3
108年09月,基隆港,其他,廣東黃埔,3
108年11月,基隆港,其他,廣東蓮花山,1
108年11月,基隆港,其他,上海,1
109年03月,基隆港,其他,廣東蓮花山,3
109年06月,基隆港,其他,廣東蓮花山,2
109年06月,基隆港,其他,上海,4
109年08月,基隆港,其他,廣東蓮花山,6
109年08月,基隆港,其他,廣東鹽田,1
109年09月,基隆港,其他,廣東蓮花山,3
109年10月,基隆港,其他,廣東蓮花山,7
109年11月,基隆港,其他,廣東蓮花山,6
109年12月,基隆港,其他,上海,2
110年01月,基隆港,其他,天津新港,1
098年02月,臺中港,化工原料,江蘇常熟,1201
098年02月,臺中港,其他,廣東蛇口,443
098年04月,臺中港,化工原料,上海,80
098年04月,臺中港,製材,上海,2
098年04月,臺中港,其他,廣東蛇口,608
098年05月,臺中港,化工原料,上海,40
098年05月,臺中港,其他,廣東蛇口,615
098年06月,臺中港,其他,廣東蛇口,592
098年07月,臺中港,化工原料,上海,40
098年07月,臺中港,其他,遼寧鱍魚圈,5500
098年07月,臺中港,其他,江蘇常熟,918
098年07月,臺中港,其他,廣東蛇口,591
098年08月,臺中港,其他,江蘇南京,15000
098年08月,臺中港,其他,廣東蛇口,614
098年11月,臺中港,其他,河北京唐（唐山）,6500
098年11月,臺中港,其他,廣東蛇口,614
099年01月,臺中港,其他,廣東蛇口,615
099年02月,臺中港,其他,廣東蛇口,567
099年03月,臺中港,化工原料,浙江寧波,43
099年03月,臺中港,化工原料,天津,29
099年03月,臺中港,其他,江蘇南京,4950
099年05月,臺中港,其他,廣東蛇口,612
099年06月,臺中港,其他,廣東蛇口,613
099年08月,臺中港,其他,上海,17
099年09月,臺中港,其他,江蘇鎮江,23500
100年01月,臺中港,鋼材,上海,9
100年01月,臺中港,其他,廣東蛇口,616
100年02月,臺中港,鋼材,上海,3
100年03月,臺中港,鋼材,上海,26
100年03月,臺中港,其他,江蘇南通,6500
100年03月,臺中港,其他,廣東蛇口,592
100年05月,臺中港,鋼材,上海,8
100年06月,臺中港,鋼材,上海,3
100年07月,臺中港,鋼材,上海,3
100年08月,臺中港,鋼材,上海,3
100年09月,臺中港,鋼材,上海,5
100年11月,臺中港,鋼材,上海,7
100年12月,臺中港,鋼材,上海,2
101年02月,臺中港,其他,上海,27
101年11月,臺中港,化工原料,江蘇張家港,2021
102年03月,臺中港,化工原料,江蘇常熟,2845
102年03月,臺中港,化工原料,江蘇鎮江,2400
102年04月,臺中港,化工原料,江蘇常熟,2919
102年04月,臺中港,化工原料,江蘇泰州,2450
102年04月,臺中港,化工原料,江蘇張家港,4800
102年08月,臺中港,化工原料,廣東惠州,1024
103年01月,臺中港,其他,上海,38
103年02月,臺中港,其他,浙江寧波,128
103年07月,臺中港,其他,上海,33
103年08月,臺中港,其他,廣東黃埔,206
103年09月,臺中港,其他,廣東黃埔,1394
103年10月,臺中港,其他,山東煙臺,13000
103年11月,臺中港,其他,江蘇南通,12500
103年12月,臺中港,化工原料,浙江寧波,1997
103年12月,臺中港,其他,山東煙臺,13000
103年12月,臺中港,其他,福建漳州,6000
