時間,地區別,船種,臺灣港口,重量(公噸)
098年01月,安徽蚌埠,貨櫃輪,基隆港,4
098年01月,北京,貨櫃輪,基隆港,1
098年01月,廣東保安,貨櫃輪,基隆港,143
098年01月,廣東廣州,貨櫃輪,基隆港,254
098年01月,江蘇常熟,貨櫃輪,基隆港,3
098年01月,陝西長安,貨櫃輪,基隆港,27
098年01月,上海漕涇,貨櫃輪,基隆港,106
098年01月,重慶,貨櫃輪,基隆港,121
098年01月,廣東從化,貨櫃輪,基隆港,25
098年01月,廣東昌平,貨櫃輪,基隆港,49
098年01月,湖南長沙,貨櫃輪,基隆港,99
098年01月,四川成都,貨櫃輪,基隆港,11
098年01月,廣東東莞,貨櫃輪,基隆港,1638
098年01月,江西東坑,貨櫃輪,基隆港,0
098年01月,遼寧大連,貨櫃輪,基隆港,1360
098年01月,廣東斗門,貨櫃輪,基隆港,17
098年01月,廣西防城,貨櫃輪,基隆港,89
098年01月,廣東鳳崗,貨櫃輪,基隆港,18
098年01月,福建福州,貨櫃輪,基隆港,301
098年01月,廣東佛山,貨櫃輪,基隆港,248
098年01月,遼寧撫順,貨櫃輪,基隆港,20
098年01月,福建福清,貨櫃輪,基隆港,0
098年01月,雲南－－,貨櫃輪,基隆港,1
098年01月,廣東高要,貨櫃輪,基隆港,24
098年01月,廣東公明,貨櫃輪,基隆港,0
098年01月,廣東,貨櫃輪,基隆港,18
098年01月,廣西貴港,貨櫃輪,基隆港,14
098年01月,廣東觀瀾,貨櫃輪,基隆港,167
098年01月,海南海口,貨櫃輪,基隆港,75
098年01月,廣東花都,貨櫃輪,基隆港,56
098年01月,浙江杭州,貨櫃輪,基隆港,53
098年01月,廣東虎門,貨櫃輪,基隆港,181
098年01月,廣東厚街,貨櫃輪,基隆港,0
098年01月,廣東鶴山,貨櫃輪,基隆港,153
098年01月,廣東黃埔,貨櫃輪,基隆港,1958
098年01月,廣東花都,貨櫃輪,基隆港,57
098年01月,廣東皇崗,貨櫃輪,基隆港,24
098年01月,廣東惠州,貨櫃輪,基隆港,249
098年01月,黑龍江呼瑪,貨櫃輪,基隆港,3
098年01月,廣東黃埔新港,貨櫃輪,基隆港,2
098年01月,江蘇江陰,貨櫃輪,基隆港,272
098年01月,江西九江,貨櫃輪,基隆港,1
098年01月,廣東江門,貨櫃輪,基隆港,438
098年01月,廣東九州,貨櫃輪,基隆港,12
098年01月,江西南昌,貨櫃輪,基隆港,82
098年01月,河北開平,貨櫃輪,基隆港,1
098年01月,江蘇昆山,貨櫃輪,基隆港,1184
098年01月,廣東寮步,貨櫃輪,基隆港,68
098年01月,廣東龍崗,貨櫃輪,基隆港,71
098年01月,廣東蓮花山,貨櫃輪,基隆港,64
098年01月,湖南蘭市,貨櫃輪,基隆港,15
098年01月,廣東勒流,貨櫃輪,基隆港,30
098年01月,江蘇連雲港,貨櫃輪,基隆港,4
098年01月,福建馬尾,貨櫃輪,基隆港,214
098年01月,廣東梅州,貨櫃輪,基隆港,2
098年01月,廣東馬坊,貨櫃輪,基隆港,3
098年01月,廣東麻涌,貨櫃輪,基隆港,8
098年01月,廣東南海,貨櫃輪,基隆港,54
098年01月,浙江寧波,貨櫃輪,基隆港,15306
098年01月,江蘇南京,貨櫃輪,基隆港,421
098年01月,廣東南沙,貨櫃輪,基隆港,53
098年01月,江蘇南通,貨櫃輪,基隆港,310
098年01月,廣東坪山,貨櫃輪,基隆港,134
098年01月,浙江平湖,貨櫃輪,基隆港,1
098年01月,廣東番禺市橋,貨櫃輪,基隆港,68
098年01月,上海浦東機場,貨櫃輪,基隆港,0
098年01月,廣東清溪,貨櫃輪,基隆港,65
098年01月,廣東清遠,貨櫃輪,基隆港,18
098年01月,廣東容奇,貨櫃輪,基隆港,45
098年01月,吉林三合,貨櫃輪,基隆港,26
098年01月,廣東水東,貨櫃輪,基隆港,2
098年01月,上海,貨櫃輪,基隆港,29700
098年01月,廣東三山,貨櫃輪,基隆港,20
098年01月,廣東沙井,貨櫃輪,基隆港,173
098年01月,廣東蛇口,貨櫃輪,基隆港,25
098年01月,廣東沙田,貨櫃輪,基隆港,348
098年01月,廣東石碣,貨櫃輪,基隆港,43
098年01月,廣東三水,貨櫃輪,基隆港,3153
098年01月,廣東南海三山,貨櫃輪,基隆港,20
098年01月,廣東汕頭,貨櫃輪,基隆港,292
098年01月,浙江紹興縣,貨櫃輪,基隆港,2
098年01月,廣東十堰,貨櫃輪,基隆港,263
098年01月,江蘇蘇州,貨櫃輪,基隆港,947
098年01月,廣東深圳,貨櫃輪,基隆港,1187
098年01月,江蘇太倉,貨櫃輪,基隆港,180
098年01月,山東青島,貨櫃輪,基隆港,3189
098年01月,廣東太平,貨櫃輪,基隆港,1767
098年01月,天津,貨櫃輪,基隆港,285
098年01月,廣東塘廈,貨櫃輪,基隆港,144
098年01月,天津新港,貨櫃輪,基隆港,497
098年01月,安徽蕪湖,貨櫃輪,基隆港,13
098年01月,浙江溫州,貨櫃輪,基隆港,84
098年01月,福建圍頭,貨櫃輪,基隆港,24
098年01月,湖北武漢,貨櫃輪,基隆港,25
098年01月,江蘇吳江,貨櫃輪,基隆港,78
098年01月,江蘇無錫,貨櫃輪,基隆港,1455
098年01月,廣西梧州,貨櫃輪,基隆港,63
098年01月,廣東新豐,貨櫃輪,基隆港,274
098年01月,天津新港,貨櫃輪,基隆港,754
098年01月,廣東小欖,貨櫃輪,基隆港,1319
098年01月,廣東新會,貨櫃輪,基隆港,58
098年01月,廣東新塘,貨櫃輪,基隆港,81
098年01月,福建廈門,貨櫃輪,基隆港,3000
098年01月,青海西寧,貨櫃輪,基隆港,57
098年01月,山東煙臺,貨櫃輪,基隆港,92
098年01月,廣東鹽田,貨櫃輪,基隆港,3356
098年01月,湖南岳陽,貨櫃輪,基隆港,29
098年01月,江蘇楊州,貨櫃輪,基隆港,17
098年01月,廣東湛江,貨櫃輪,基隆港,159
098年01月,江蘇鎮江,貨櫃輪,基隆港,126
098年01月,河南駐馬店,貨櫃輪,基隆港,3
098年01月,江蘇張家港,貨櫃輪,基隆港,1075
098年01月,廣東肇慶,貨櫃輪,基隆港,225
098年01月,廣東中山,貨櫃輪,基隆港,1101
098年01月,廣東珠海,貨櫃輪,基隆港,275
098年01月,廣東廣州,油輪,基隆港,4186
098年01月,廣東黃埔,乾貨輪,基隆港,4810
098年02月,廣西北海,貨櫃輪,基隆港,41
098年02月,福建北茭,貨櫃輪,基隆港,30
098年02月,北京,貨櫃輪,基隆港,8
098年02月,廣東保安,貨櫃輪,基隆港,350
098年02月,廣東布吉,貨櫃輪,基隆港,16
098年02月,廣東廣州,貨櫃輪,基隆港,375
098年02月,江蘇常熟,貨櫃輪,基隆港,51
098年02月,陝西長安,貨櫃輪,基隆港,26
098年02月,上海漕涇,貨櫃輪,基隆港,41
098年02月,重慶,貨櫃輪,基隆港,318
098年02月,廣東從化,貨櫃輪,基隆港,75
098年02月,廣東昌平,貨櫃輪,基隆港,92
098年02月,湖南長沙,貨櫃輪,基隆港,81
098年02月,廣東赤灣,貨櫃輪,基隆港,201
098年02月,廣東東莞,貨櫃輪,基隆港,3205
098年02月,江西東坑,貨櫃輪,基隆港,26
098年02月,遼寧大連,貨櫃輪,基隆港,904
098年02月,廣東斗門,貨櫃輪,基隆港,177
098年02月,廣西防城,貨櫃輪,基隆港,2
098年02月,廣東鳳崗,貨櫃輪,基隆港,58
098年02月,福建福州,貨櫃輪,基隆港,324
098年02月,廣東佛山,貨櫃輪,基隆港,268
098年02月,福建福清,貨櫃輪,基隆港,2
098年02月,廣東福田,貨櫃輪,基隆港,4
098年02月,雲南－－,貨櫃輪,基隆港,9
098年02月,廣東高沙,貨櫃輪,基隆港,8
098年02月,廣東高要,貨櫃輪,基隆港,334
098年02月,廣東高明,貨櫃輪,基隆港,68
098年02月,廣東,貨櫃輪,基隆港,24
098年02月,廣西貴港,貨櫃輪,基隆港,4
098年02月,廣東觀瀾,貨櫃輪,基隆港,204
098年02月,海南海口,貨櫃輪,基隆港,55
098年02月,廣東花都,貨櫃輪,基隆港,80
098年02月,廣東河源,貨櫃輪,基隆港,120
098年02月,浙江杭州,貨櫃輪,基隆港,31
098年02月,廣東虎門,貨櫃輪,基隆港,291
098年02月,廣東橫崗,貨櫃輪,基隆港,1
098年02月,廣東厚街,貨櫃輪,基隆港,0
098年02月,廣東鶴山,貨櫃輪,基隆港,249
098年02月,廣東黃埔,貨櫃輪,基隆港,1929
098年02月,廣東花都,貨櫃輪,基隆港,48
098年02月,廣東皇崗,貨櫃輪,基隆港,1
098年02月,廣東惠州,貨櫃輪,基隆港,659
098年02月,黑龍江呼瑪,貨櫃輪,基隆港,3
098年02月,廣東黃埔新港,貨櫃輪,基隆港,3
098年02月,江蘇江陰,貨櫃輪,基隆港,561
098年02月,江西九江,貨櫃輪,基隆港,48
098年02月,廣東江門,貨櫃輪,基隆港,314
098年02月,廣東九州,貨櫃輪,基隆港,10
098年02月,廣東開平,貨櫃輪,基隆港,3
098年02月,新疆喀什,貨櫃輪,基隆港,2
098年02月,江西南昌,貨櫃輪,基隆港,16
098年02月,江蘇昆山,貨櫃輪,基隆港,2691
098年02月,廣東瀾石,貨櫃輪,基隆港,23
098年02月,廣東寮步,貨櫃輪,基隆港,86
098年02月,廣東龍崗,貨櫃輪,基隆港,296
098年02月,廣東龍華,貨櫃輪,基隆港,22
098年02月,廣東蓮花山,貨櫃輪,基隆港,308
098年02月,湖南蘭市,貨櫃輪,基隆港,40
098年02月,廣東六都,貨櫃輪,基隆港,22
098年02月,廣東勒流,貨櫃輪,基隆港,62
098年02月,江蘇連雲港,貨櫃輪,基隆港,212
098年02月,福建馬尾,貨櫃輪,基隆港,237
098年02月,廣東梅州,貨櫃輪,基隆港,2
098年02月,廣東馬坊,貨櫃輪,基隆港,25
098年02月,廣東南海,貨櫃輪,基隆港,129
098年02月,浙江寧波,貨櫃輪,基隆港,24003
098年02月,江蘇南京,貨櫃輪,基隆港,691
098年02月,廣東南沙,貨櫃輪,基隆港,138
098年02月,江蘇南通,貨櫃輪,基隆港,84
098年02月,廣東平州,貨櫃輪,基隆港,0
098年02月,廣東平湖,貨櫃輪,基隆港,20
098年02月,貴州平湖,貨櫃輪,基隆港,6
098年02月,廣東坪山,貨櫃輪,基隆港,93
