時間,貨物別,地區別,臺灣港口,重量(公噸)
098年01月,"調製食品,飲料,煙酒類",福建廈門,基隆港,15
098年01月,化學或有關工業產品,浙江寧波,基隆港,1
098年01月,化學或有關工業產品,上海,基隆港,3
098年01月,化學或有關工業產品,廣東深圳,基隆港,0
098年01月,塑膠橡膠及其製品,遼寧大連,基隆港,0
098年01月,塑膠橡膠及其製品,浙江寧波,基隆港,0
098年01月,塑膠橡膠及其製品,上海,基隆港,2
098年01月,塑膠橡膠及其製品,天津,基隆港,2
098年01月,紡織品及其製品,上海,基隆港,7
098年01月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,1
098年01月,卑金屬及其製品,福建福清,基隆港,0
098年01月,卑金屬及其製品,廣東黃埔,基隆港,4810
098年01月,卑金屬及其製品,上海,基隆港,20
098年01月,卑金屬及其製品,廣東深圳,基隆港,20
098年01月,卑金屬及其製品,福建廈門,基隆港,1
098年01月,"機械用具電機設備,電視影像錄音機",遼寧大連,基隆港,0
098年01月,"機械用具電機設備,電視影像錄音機",浙江寧波,基隆港,1
098年01月,"機械用具電機設備,電視影像錄音機",上海,基隆港,38
098年01月,"機械用具電機設備,電視影像錄音機",山東青島,基隆港,0
098年01月,"機械用具電機設備,電視影像錄音機",天津,基隆港,0
098年01月,"機械用具電機設備,電視影像錄音機",福建廈門,基隆港,1
098年01月,車輛航空器船舶運輸設備,廣東中山,基隆港,1
098年01月,"光學照相電影計量檢查儀器,鐘錶樂器",廣東東莞,基隆港,0
098年01月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,0
098年01月,"家具玩具運動用品,雜項製品",上海,基隆港,0
098年02月,"調製食品,飲料,煙酒類",福建廈門,基隆港,23
098年02月,化學或有關工業產品,江蘇昆山,基隆港,1
098年02月,化學或有關工業產品,上海,基隆港,0
098年02月,化學或有關工業產品,廣東深圳,基隆港,0
098年02月,化學或有關工業產品,廣東太平,基隆港,4
098年02月,塑膠橡膠及其製品,遼寧大連,基隆港,0
098年02月,塑膠橡膠及其製品,江蘇江陰,基隆港,0
098年02月,塑膠橡膠及其製品,上海,基隆港,5
098年02月,塑膠橡膠及其製品,天津,基隆港,2
098年02月,塑膠橡膠及其製品,福建廈門,基隆港,0
098年02月,"木及木製品,軟木及軟木製品",福建廈門,基隆港,0
098年02月,"木漿紙漿,紙及紙板及其製品",上海,基隆港,0
098年02月,"木漿紙漿,紙及紙板及其製品",福建廈門,基隆港,0
098年02月,紡織品及其製品,上海,基隆港,16
098年02月,紡織品及其製品,福建廈門,基隆港,10
098年02月,紡織品及其製品,廣東中山,基隆港,36
098年02月,"石料水泥石棉等材料之製品,陶瓷,玻璃",江蘇昆山,基隆港,0
098年02月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,0
098年02月,卑金屬及其製品,福建福清,基隆港,1
098年02月,卑金屬及其製品,江蘇江陰,基隆港,1
098年02月,卑金屬及其製品,上海,基隆港,18
098年02月,卑金屬及其製品,廣東新塘,基隆港,0
098年02月,"機械用具電機設備,電視影像錄音機",遼寧大連,基隆港,2
098年02月,"機械用具電機設備,電視影像錄音機",海南海口,基隆港,1
098年02月,"機械用具電機設備,電視影像錄音機",江蘇昆山,基隆港,0
098年02月,"機械用具電機設備,電視影像錄音機",上海,基隆港,5
098年02月,"機械用具電機設備,電視影像錄音機",廣東深圳,基隆港,1
098年02月,"機械用具電機設備,電視影像錄音機",山東青島,基隆港,1
098年02月,"機械用具電機設備,電視影像錄音機",湖北武漢,基隆港,1
098年02月,"機械用具電機設備,電視影像錄音機",廣東新豐,基隆港,0
098年02月,"機械用具電機設備,電視影像錄音機",天津新港,基隆港,6
098年02月,"機械用具電機設備,電視影像錄音機",廣東新塘,基隆港,1
098年02月,"機械用具電機設備,電視影像錄音機",福建廈門,基隆港,0
098年02月,"機械用具電機設備,電視影像錄音機",青海西寧,基隆港,1
098年02月,"光學照相電影計量檢查儀器,鐘錶樂器",江蘇昆山,基隆港,0
098年02月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,0
098年02月,"家具玩具運動用品,雜項製品",上海,基隆港,0
098年03月,"調製食品,飲料,煙酒類",福建廈門,基隆港,75
098年03月,化學或有關工業產品,上海,基隆港,8
098年03月,化學或有關工業產品,廣東深圳,基隆港,0
098年03月,塑膠橡膠及其製品,遼寧大連,基隆港,0
098年03月,塑膠橡膠及其製品,上海,基隆港,17
098年03月,塑膠橡膠及其製品,廣東新塘,基隆港,0
098年03月,塑膠橡膠及其製品,福建廈門,基隆港,8
098年03月,"木漿紙漿,紙及紙板及其製品",江蘇蘇州,基隆港,0
098年03月,紡織品及其製品,上海,基隆港,28
098年03月,紡織品及其製品,廣東新豐,基隆港,1
098年03月,紡織品及其製品,福建廈門,基隆港,3
098年03月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,0
098年03月,卑金屬及其製品,遼寧大連,基隆港,0
098年03月,卑金屬及其製品,福建福清,基隆港,1
098年03月,卑金屬及其製品,上海,基隆港,36
098年03月,卑金屬及其製品,江蘇蘇州,基隆港,2
098年03月,卑金屬及其製品,廣東新塘,基隆港,0
098年03月,卑金屬及其製品,福建廈門,基隆港,0
098年03月,"機械用具電機設備,電視影像錄音機",遼寧大連,基隆港,2
098年03月,"機械用具電機設備,電視影像錄音機",上海,基隆港,10
098年03月,"機械用具電機設備,電視影像錄音機",江蘇蘇州,基隆港,5
098年03月,"機械用具電機設備,電視影像錄音機",廣東深圳,基隆港,0
098年03月,"機械用具電機設備,電視影像錄音機",山東青島,基隆港,1
098年03月,"機械用具電機設備,電視影像錄音機",天津新港,基隆港,6
098年03月,"機械用具電機設備,電視影像錄音機",廣東新塘,基隆港,3
098年03月,車輛航空器船舶運輸設備,廣東中山,基隆港,1
098年03月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,1
