時間,臺灣港口,貨物別,地區別,重量(公噸)
098年01月,基隆港,大理石花崗石,河南鄭州,16344
098年01月,基隆港,大理石花崗石,福建福州,46000
098年01月,基隆港,大理石花崗石,福建馬尾,6500
098年01月,基隆港,大理石花崗石,上海,22
098年01月,基隆港,砂礫,福建福州,222344
098年01月,基隆港,砂礫,福建馬尾,81070
098年01月,基隆港,砂礫,福建廈門,21888
098年01月,基隆港,其他,上海,5
098年02月,基隆港,大理石花崗石,河南鄭州,16000
098年02月,基隆港,大理石花崗石,福建城澳,6500
098年02月,基隆港,大理石花崗石,福建福州,24500
098年02月,基隆港,砂礫,福建福州,120058
098年02月,基隆港,砂礫,福建馬尾,84000
098年02月,基隆港,砂礫,福建廈門,22900
098年03月,基隆港,大理石花崗石,福建福州,16900
098年03月,基隆港,砂礫,福建福州,257658
098年03月,基隆港,砂礫,福建馬尾,107260
098年03月,基隆港,長石、霞石,福建福州,1634
098年03月,基隆港,其他,福建福州,2000
098年04月,基隆港,高嶺土,廣東廣州,4050
098年04月,基隆港,大理石花崗石,廣東廣州,19300
098年04月,基隆港,大理石花崗石,福建福州,21600
098年04月,基隆港,大理石花崗石,福建廈門,4
098年04月,基隆港,大理石花崗石,福建漳州,16000
098年04月,基隆港,砂礫,福建福州,232466
098年04月,基隆港,砂礫,福建馬尾,99880
098年04月,基隆港,水泥,江蘇張家港,22000
098年04月,基隆港,長石、霞石,廣東廣州,1702
098年04月,基隆港,爐石,江蘇張家港,4969
098年05月,基隆港,大理石花崗石,福建城澳,23400
098年05月,基隆港,大理石花崗石,福建馬尾,14500
098年05月,基隆港,大理石花崗石,廣東沙田,18000
098年05月,基隆港,砂礫,福建福州,297000
098年05月,基隆港,砂礫,福建馬尾,59380
098年05月,基隆港,化工原料,遼寧大連,3119
098年06月,基隆港,大理石花崗石,河南鄭州,17200
098年06月,基隆港,大理石花崗石,福建福州,16720
098年06月,基隆港,大理石花崗石,廣東沙田,17500
098年06月,基隆港,砂礫,福建福州,256870
098年06月,基隆港,砂礫,福建馬尾,77452
098年06月,基隆港,化工原料,遼寧大連,2973
098年07月,基隆港,大理石花崗石,福建城澳,23500
098年07月,基隆港,大理石花崗石,廣東沙田,23800
098年07月,基隆港,砂礫,福建福州,239029
098年07月,基隆港,砂礫,福建馬尾,95720
098年07月,基隆港,長石、霞石,廣東沙田,4025
098年08月,基隆港,大理石花崗石,福建城澳,33950
098年08月,基隆港,大理石花崗石,福建福州,6150
098年08月,基隆港,大理石花崗石,廣東沙田,19200
098年08月,基隆港,大理石花崗石,福建漳州,16800
098年08月,基隆港,砂礫,廣東廣州,48290
098年08月,基隆港,砂礫,福建福州,174420
098年08月,基隆港,砂礫,廣東黃埔,35300
098年08月,基隆港,砂礫,福建馬尾,71940
098年08月,基隆港,爐石,上海,11400
