時間,地區別,船種,臺灣港口,重量(公噸)
098年01月,安徽安慶,貨櫃輪,基隆港,31
098年01月,江蘇常熟,貨櫃輪,基隆港,30
098年01月,重慶,貨櫃輪,基隆港,541
098年01月,遼寧大連,貨櫃輪,基隆港,3718
098年01月,廣西防城,貨櫃輪,基隆港,255
098年01月,吉林豐廣,貨櫃輪,基隆港,2
098年01月,福建福州,貨櫃輪,基隆港,654
098年01月,廣東佛山,貨櫃輪,基隆港,23
098年01月,廣東花都,貨櫃輪,基隆港,10
098年01月,廣東黃埔,貨櫃輪,基隆港,601
098年01月,廣東黃埔新港,貨櫃輪,基隆港,72
098年01月,黑龍江嘉蔭,貨櫃輪,基隆港,10
098年01月,江蘇江陰,貨櫃輪,基隆港,231
098年01月,江西九江,貨櫃輪,基隆港,65
098年01月,廣東九江,貨櫃輪,基隆港,441
098年01月,江蘇連雲港,貨櫃輪,基隆港,1101
098年01月,浙江寧波,貨櫃輪,基隆港,4255
098年01月,江蘇南京,貨櫃輪,基隆港,931
098年01月,江蘇南通,貨櫃輪,基隆港,310
098年01月,上海浦東機場,貨櫃輪,基隆港,0
098年01月,上海,貨櫃輪,基隆港,27192
098年01月,遼寧瀋陽,貨櫃輪,基隆港,21
098年01月,廣東三山,貨櫃輪,基隆港,39
098年01月,廣東蛇口,貨櫃輪,基隆港,484
098年01月,廣東汕頭,貨櫃輪,基隆港,157
098年01月,新疆鄯善,貨櫃輪,基隆港,1
098年01月,廣東深圳,貨櫃輪,基隆港,5
098年01月,江蘇太倉,貨櫃輪,基隆港,1514
098年01月,山東青島,貨櫃輪,基隆港,5039
098年01月,天津,貨櫃輪,基隆港,47
098年01月,天津新港,貨櫃輪,基隆港,2850
098年01月,安徽蕪湖,貨櫃輪,基隆港,26
098年01月,湖北武漢,貨櫃輪,基隆港,586
098年01月,廣東新豐,貨櫃輪,基隆港,1288
098年01月,天津新港,貨櫃輪,基隆港,1124
098年01月,廣東小欖,貨櫃輪,基隆港,27
098年01月,廣東新會,貨櫃輪,基隆港,19
098年01月,廣東新塘,貨櫃輪,基隆港,2
098年01月,福建廈門,貨櫃輪,基隆港,13604
098年01月,青海西寧,貨櫃輪,基隆港,37
098年01月,山東煙臺,貨櫃輪,基隆港,3
098年01月,廣東北滘,貨櫃輪,基隆港,6
098年01月,廣東鹽田,貨櫃輪,基隆港,217
098年01月,廣東湛江,貨櫃輪,基隆港,119
098年01月,江蘇鎮江,貨櫃輪,基隆港,110
098年01月,江蘇張家港,貨櫃輪,基隆港,90
098年01月,廣東肇慶,貨櫃輪,基隆港,107
098年01月,廣東中山,貨櫃輪,基隆港,32
098年01月,廣東珠海,貨櫃輪,基隆港,712
098年01月,河南鄭州,散裝輪,基隆港,16344
098年01月,福建福州,散裝輪,基隆港,268344
098年01月,福建馬尾,散裝輪,基隆港,87570
098年01月,福建廈門,散裝輪,基隆港,21888
098年02月,安徽安慶,貨櫃輪,基隆港,30
098年02月,江蘇常熟,貨櫃輪,基隆港,18
098年02月,重慶,貨櫃輪,基隆港,471
098年02月,廣東赤灣,貨櫃輪,基隆港,4
098年02月,遼寧大連,貨櫃輪,基隆港,2564
098年02月,廣西防城,貨櫃輪,基隆港,230
098年02月,福建福州,貨櫃輪,基隆港,526
098年02月,廣東佛山,貨櫃輪,基隆港,45
098年02月,廣東花都,貨櫃輪,基隆港,188
098年02月,廣東黃埔,貨櫃輪,基隆港,29
098年02月,廣東黃埔新港,貨櫃輪,基隆港,17
098年02月,江蘇江陰,貨櫃輪,基隆港,345
098年02月,江西九江,貨櫃輪,基隆港,12
098年02月,廣東蓮花山,貨櫃輪,基隆港,2
098年02月,江蘇連雲港,貨櫃輪,基隆港,1226
098年02月,福建馬尾,貨櫃輪,基隆港,1
098年02月,廣東茂名,貨櫃輪,基隆港,40
098年02月,浙江寧波,貨櫃輪,基隆港,3294
098年02月,江蘇南京,貨櫃輪,基隆港,631
098年02月,廣東南沙,貨櫃輪,基隆港,12
098年02月,江蘇南通,貨櫃輪,基隆港,73
098年02月,上海浦東機場,貨櫃輪,基隆港,6
098年02月,廣東容奇,貨櫃輪,基隆港,10
098年02月,上海,貨櫃輪,基隆港,27649
098年02月,遼寧瀋陽,貨櫃輪,基隆港,8
098年02月,廣東三山,貨櫃輪,基隆港,9
098年02月,廣東蛇口,貨櫃輪,基隆港,332
098年02月,廣東沙田,貨櫃輪,基隆港,23
098年02月,廣東汕頭,貨櫃輪,基隆港,11
098年02月,廣東深圳,貨櫃輪,基隆港,2
098年02月,江蘇太倉,貨櫃輪,基隆港,1692
098年02月,山東青島,貨櫃輪,基隆港,3615
098年02月,天津,貨櫃輪,基隆港,43
098年02月,天津新港,貨櫃輪,基隆港,2558
098年02月,安徽蕪湖,貨櫃輪,基隆港,16
098年02月,湖北武漢,貨櫃輪,基隆港,633
098年02月,江蘇吳江,貨櫃輪,基隆港,18
098年02月,廣西梧州,貨櫃輪,基隆港,26
098年02月,廣東新豐,貨櫃輪,基隆港,1291
098年02月,天津新港,貨櫃輪,基隆港,962
098年02月,廣東小欖,貨櫃輪,基隆港,17
098年02月,廣東新會,貨櫃輪,基隆港,61
098年02月,福建廈門,貨櫃輪,基隆港,7750
098年02月,青海西寧,貨櫃輪,基隆港,44
098年02月,廣東鹽田,貨櫃輪,基隆港,102
098年02月,湖南岳陽,貨櫃輪,基隆港,14
098年02月,江蘇楊州,貨櫃輪,基隆港,3
098年02月,廣東湛江,貨櫃輪,基隆港,462
098年02月,江蘇鎮江,貨櫃輪,基隆港,211
098年02月,江蘇張家港,貨櫃輪,基隆港,635
098年02月,廣東肇慶,貨櫃輪,基隆港,315
098年02月,廣東中山,貨櫃輪,基隆港,2
098年02月,廣東珠海,貨櫃輪,基隆港,628
098年02月,河南鄭州,散裝輪,基隆港,16000
098年02月,福建城澳,散裝輪,基隆港,6500
098年02月,福建福州,散裝輪,基隆港,160028
098年02月,福建馬尾,散裝輪,基隆港,84000
098年02月,福建廈門,散裝輪,基隆港,22900
098年02月,上海,乾貨輪,基隆港,19
098年03月,安徽安慶,貨櫃輪,基隆港,18
098年03月,廣東廣州,貨櫃輪,基隆港,7
098年03月,江蘇常熟,貨櫃輪,基隆港,18
098年03月,重慶,貨櫃輪,基隆港,384
098年03月,湖南長沙,貨櫃輪,基隆港,26
098年03月,遼寧大連,貨櫃輪,基隆港,4228
098年03月,廣西防城,貨櫃輪,基隆港,323
098年03月,吉林豐廣,貨櫃輪,基隆港,15
098年03月,福建福州,貨櫃輪,基隆港,774
098年03月,廣東佛山,貨櫃輪,基隆港,10
098年03月,廣東花都,貨櫃輪,基隆港,23
098年03月,廣東黃埔,貨櫃輪,基隆港,72
098年03月,廣東黃埔新港,貨櫃輪,基隆港,10
098年03月,江蘇江陰,貨櫃輪,基隆港,545
098年03月,廣西江山,貨櫃輪,基隆港,0
098年03月,江西九江,貨櫃輪,基隆港,81
098年03月,廣東九江,貨櫃輪,基隆港,133
098年03月,廣東江門,貨櫃輪,基隆港,60
098年03月,江西南昌,貨櫃輪,基隆港,334
098年03月,江蘇連雲港,貨櫃輪,基隆港,4084
098年03月,浙江寧波,貨櫃輪,基隆港,5779
098年03月,江蘇南京,貨櫃輪,基隆港,391
098年03月,廣東南沙,貨櫃輪,基隆港,17
098年03月,江蘇南通,貨櫃輪,基隆港,44
