時間,貨物別,地區別,臺灣港口,重量(公噸)
098年01月,動物產品,浙江寧波,基隆港,56
098年01月,化學或有關工業產品,上海,基隆港,4
098年01月,化學或有關工業產品,福建廈門,基隆港,0
098年01月,塑膠橡膠及其製品,福建福州,基隆港,0
098年01月,塑膠橡膠及其製品,上海,基隆港,1
098年01月,塑膠橡膠及其製品,山東青島,基隆港,17
098年01月,塑膠橡膠及其製品,福建廈門,基隆港,0
098年01月,"皮革毛衣及其製品,旅行用物品",福建廈門,基隆港,1
098年01月,"木及木製品,軟木及軟木製品",上海,基隆港,0
098年01月,"木及木製品,軟木及軟木製品",福建廈門,基隆港,1
098年01月,"木漿紙漿,紙及紙板及其製品",福建廈門,基隆港,4
098年01月,紡織品及其製品,浙江寧波,基隆港,2
098年01月,紡織品及其製品,上海,基隆港,7
098年01月,紡織品及其製品,山東青島,基隆港,1
098年01月,"鞋帽傘,羽毛及其製品,人造花",浙江寧波,基隆港,23
098年01月,"石料水泥石棉等材料之製品,陶瓷,玻璃",天津新港,基隆港,100
098年01月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,180
098年01月,卑金屬及其製品,上海,基隆港,0
098年01月,卑金屬及其製品,福建廈門,基隆港,6
098年01月,"機械用具電機設備,電視影像錄音機",遼寧大連,基隆港,3
098年01月,"機械用具電機設備,電視影像錄音機",浙江寧波,基隆港,9
098年01月,"機械用具電機設備,電視影像錄音機",上海,基隆港,12
098年01月,"機械用具電機設備,電視影像錄音機",福建廈門,基隆港,10
098年01月,"光學照相電影計量檢查儀器,鐘錶樂器",浙江寧波,基隆港,3
098年01月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,1
098年01月,"家具玩具運動用品,雜項製品",浙江寧波,基隆港,2
098年01月,"家具玩具運動用品,雜項製品",上海,基隆港,5
098年01月,"家具玩具運動用品,雜項製品",福建廈門,基隆港,12
098年02月,動物產品,浙江寧波,基隆港,18
098年02月,化學或有關工業產品,上海,基隆港,3
098年02月,塑膠橡膠及其製品,上海,基隆港,4
098年02月,塑膠橡膠及其製品,山東青島,基隆港,1
098年02月,"皮革毛衣及其製品,旅行用物品",上海,基隆港,2
098年02月,"木及木製品,軟木及軟木製品",上海,基隆港,0
098年02月,"木漿紙漿,紙及紙板及其製品",上海,基隆港,5
098年02月,紡織品及其製品,上海,基隆港,1
098年02月,紡織品及其製品,山東青島,基隆港,0
098年02月,"鞋帽傘,羽毛及其製品,人造花",浙江寧波,基隆港,17
098年02月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,245
098年02月,卑金屬及其製品,上海,基隆港,17
098年02月,卑金屬及其製品,福建廈門,基隆港,6
098年02月,"機械用具電機設備,電視影像錄音機",遼寧大連,基隆港,34
098年02月,"機械用具電機設備,電視影像錄音機",浙江寧波,基隆港,1
098年02月,"機械用具電機設備,電視影像錄音機",上海,基隆港,14
098年02月,"機械用具電機設備,電視影像錄音機",福建廈門,基隆港,2
098年02月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,2
098年02月,"家具玩具運動用品,雜項製品",浙江寧波,基隆港,0
098年02月,"家具玩具運動用品,雜項製品",上海,基隆港,3
098年02月,"家具玩具運動用品,雜項製品",福建廈門,基隆港,1
098年03月,動物產品,浙江寧波,基隆港,18
098年03月,化學或有關工業產品,上海,基隆港,14
098年03月,化學或有關工業產品,福建石獅,基隆港,1
098年03月,塑膠橡膠及其製品,上海,基隆港,15
098年03月,塑膠橡膠及其製品,山東青島,基隆港,2
098年03月,塑膠橡膠及其製品,福建廈門,基隆港,0
098年03月,"皮革毛衣及其製品,旅行用物品",上海,基隆港,2
098年03月,"皮革毛衣及其製品,旅行用物品",福建廈門,基隆港,1
098年03月,"木及木製品,軟木及軟木製品",上海,基隆港,0
098年03月,"木及木製品,軟木及軟木製品",福建廈門,基隆港,5
098年03月,"木漿紙漿,紙及紙板及其製品",上海,基隆港,0
098年03月,"木漿紙漿,紙及紙板及其製品",福建石獅,基隆港,0
098年03月,紡織品及其製品,上海,基隆港,3
098年03月,紡織品及其製品,山東青島,基隆港,2
098年03月,紡織品及其製品,福建廈門,基隆港,0
098年03月,"鞋帽傘,羽毛及其製品,人造花",浙江寧波,基隆港,19
098年03月,"鞋帽傘,羽毛及其製品,人造花",福建廈門,基隆港,0
098年03月,"石料水泥石棉等材料之製品,陶瓷,玻璃",上海,基隆港,21
098年03月,"石料水泥石棉等材料之製品,陶瓷,玻璃",天津新港,基隆港,60
098年03月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,282
098年03月,"珍珠寶石貴金屬,仿首飾",福建廈門,基隆港,0
098年03月,卑金屬及其製品,上海,基隆港,4
098年03月,卑金屬及其製品,福建廈門,基隆港,5
098年03月,"機械用具電機設備,電視影像錄音機",福建福州,基隆港,1
098年03月,"機械用具電機設備,電視影像錄音機",浙江寧波,基隆港,8
098年03月,"機械用具電機設備,電視影像錄音機",吉林三合,基隆港,17
098年03月,"機械用具電機設備,電視影像錄音機",上海,基隆港,42
098年03月,"機械用具電機設備,電視影像錄音機",廣東蛇口,基隆港,14
098年03月,"機械用具電機設備,電視影像錄音機",山東青島,基隆港,24
098年03月,"機械用具電機設備,電視影像錄音機",福建廈門,基隆港,6
098年03月,車輛航空器船舶運輸設備,上海,基隆港,0
098年03月,"光學照相電影計量檢查儀器,鐘錶樂器",浙江寧波,基隆港,0
098年03月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,6
098年03月,"家具玩具運動用品,雜項製品",浙江寧波,基隆港,1
098年03月,"家具玩具運動用品,雜項製品",上海,基隆港,19
098年03月,"家具玩具運動用品,雜項製品",福建廈門,基隆港,16
098年04月,礦產品,遼寧丹東,基隆港,1000
098年04月,化學或有關工業產品,上海,基隆港,13
098年04月,塑膠橡膠及其製品,上海,基隆港,2
098年04月,塑膠橡膠及其製品,福建廈門,基隆港,1
098年04月,"皮革毛衣及其製品,旅行用物品",上海,基隆港,1
098年04月,"皮革毛衣及其製品,旅行用物品",福建廈門,基隆港,0
098年04月,"木及木製品,軟木及軟木製品",上海,基隆港,7
098年04月,紡織品及其製品,上海,基隆港,9
098年04月,紡織品及其製品,山東青島,基隆港,0
098年04月,紡織品及其製品,福建廈門,基隆港,0
098年04月,"鞋帽傘,羽毛及其製品,人造花",浙江寧波,基隆港,9
098年04月,"石料水泥石棉等材料之製品,陶瓷,玻璃",天津新港,基隆港,40
098年04月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,303
098年04月,卑金屬及其製品,上海,基隆港,2
098年04月,卑金屬及其製品,福建廈門,基隆港,5
098年04月,"機械用具電機設備,電視影像錄音機",福建福州,基隆港,1
098年04月,"機械用具電機設備,電視影像錄音機",江蘇江陰,基隆港,1
098年04月,"機械用具電機設備,電視影像錄音機",浙江寧波,基隆港,11
098年04月,"機械用具電機設備,電視影像錄音機",上海,基隆港,33
098年04月,"機械用具電機設備,電視影像錄音機",廣東蛇口,基隆港,10
098年04月,"機械用具電機設備,電視影像錄音機",江蘇太倉,基隆港,7
098年04月,"機械用具電機設備,電視影像錄音機",福建廈門,基隆港,16
098年04月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,8
098年04月,"家具玩具運動用品,雜項製品",浙江寧波,基隆港,0
098年04月,"家具玩具運動用品,雜項製品",上海,基隆港,9
098年04月,"家具玩具運動用品,雜項製品",福建廈門,基隆港,24
098年05月,化學或有關工業產品,上海,基隆港,13
098年05月,塑膠橡膠及其製品,浙江寧波,基隆港,0
098年05月,塑膠橡膠及其製品,上海,基隆港,24
098年05月,"木及木製品,軟木及軟木製品",上海,基隆港,0
098年05月,"木及木製品,軟木及軟木製品",福建廈門,基隆港,22
098年05月,"木漿紙漿,紙及紙板及其製品",浙江寧波,基隆港,0
098年05月,"木漿紙漿,紙及紙板及其製品",福建廈門,基隆港,0
098年05月,紡織品及其製品,上海,基隆港,2
098年05月,紡織品及其製品,山東青島,基隆港,1
098年05月,紡織品及其製品,福建廈門,基隆港,0
098年05月,"鞋帽傘,羽毛及其製品,人造花",浙江寧波,基隆港,27
098年05月,"鞋帽傘,羽毛及其製品,人造花",上海,基隆港,2
098年05月,"石料水泥石棉等材料之製品,陶瓷,玻璃",天津新港,基隆港,80
098年05月,"石料水泥石棉等材料之製品,陶瓷,玻璃",福建廈門,基隆港,151
098年05月,卑金屬及其製品,浙江寧波,基隆港,0
098年05月,卑金屬及其製品,上海,基隆港,24
098年05月,卑金屬及其製品,福建廈門,基隆港,1
098年05月,"機械用具電機設備,電視影像錄音機",浙江寧波,基隆港,1
098年05月,"機械用具電機設備,電視影像錄音機",上海,基隆港,2
098年05月,"機械用具電機設備,電視影像錄音機",江蘇太倉,基隆港,5
098年05月,"機械用具電機設備,電視影像錄音機",山東青島,基隆港,40
098年05月,"機械用具電機設備,電視影像錄音機",福建廈門,基隆港,0
098年05月,"光學照相電影計量檢查儀器,鐘錶樂器",上海,基隆港,4
098年05月,"光學照相電影計量檢查儀器,鐘錶樂器",福建廈門,基隆港,0
098年05月,"家具玩具運動用品,雜項製品",浙江寧波,基隆港,1
098年05月,"家具玩具運動用品,雜項製品",上海,基隆港,8
098年05月,"家具玩具運動用品,雜項製品",福建廈門,基隆港,11
098年06月,礦產品,福建廈門,基隆港,1
098年06月,化學或有關工業產品,遼寧大連,基隆港,0
098年06月,化學或有關工業產品,上海,基隆港,52
098年06月,塑膠橡膠及其製品,上海,基隆港,20
