時間,臺灣港口,貨物別,地區別,重量(公噸)
098年02月,基隆港,卑金屬及其製品,中國大陸,122
098年07月,基隆港,"木漿紙漿,紙及紙板及其製品",印尼,0
098年07月,基隆港,"機械用具電機設備,電視影像錄音機",印尼,3
098年07月,基隆港,車輛航空器船舶運輸設備,印尼,1
098年07月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",印尼,0
098年08月,基隆港,"木漿紙漿,紙及紙板及其製品",芬蘭,0
098年08月,基隆港,"機械用具電機設備,電視影像錄音機",芬蘭,0
098年09月,基隆港,卑金屬及其製品,中國大陸,39
098年12月,基隆港,植物產品,法國,0
098年12月,基隆港,紡織品及其製品,法國,0
098年12月,基隆港,卑金屬及其製品,中國大陸,160
099年03月,基隆港,車輛航空器船舶運輸設備,新加坡,0
099年05月,基隆港,化學或有關工業產品,中國大陸,0
099年06月,基隆港,"石料水泥石棉等材料之製品,陶瓷,玻璃",日本,0
099年08月,基隆港,卑金屬及其製品,中國大陸,0
099年08月,基隆港,"機械用具電機設備,電視影像錄音機",馬來西亞,0
099年08月,基隆港,"機械用具電機設備,電視影像錄音機",新加坡,0
099年08月,基隆港,車輛航空器船舶運輸設備,馬來西亞,0
099年08月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",馬來西亞,0
099年09月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,2
099年09月,基隆港,塑膠橡膠及其製品,美國,0
099年09月,基隆港,"機械用具電機設備,電視影像錄音機",阿根廷,263
099年09月,基隆港,"機械用具電機設備,電視影像錄音機",印尼,0
099年09月,基隆港,"機械用具電機設備,電視影像錄音機",日本,1
099年09月,基隆港,車輛航空器船舶運輸設備,印尼,0
099年09月,基隆港,車輛航空器船舶運輸設備,日本,0
099年10月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,1
099年11月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,2
099年12月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,4
100年01月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,6
100年02月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,2
100年02月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,5
100年03月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,4
100年03月,基隆港,化學或有關工業產品,中國大陸,0
100年03月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,15
100年04月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,6
100年04月,基隆港,化學或有關工業產品,中國大陸,0
100年05月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,7
100年05月,基隆港,化學或有關工業產品,中國大陸,0
100年05月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,16
100年05月,基隆港,"機械用具電機設備,電視影像錄音機",奈及利亞,26
100年06月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,6
100年07月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,8
100年07月,基隆港,"機械用具電機設備,電視影像錄音機",日本,0
100年07月,基隆港,車輛航空器船舶運輸設備,日本,0
100年08月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,7
100年09月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,7
100年10月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,11
100年10月,基隆港,塑膠橡膠及其製品,韓國,0
100年11月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,8
100年11月,基隆港,化學或有關工業產品,中國大陸,1
100年11月,基隆港,塑膠橡膠及其製品,中國大陸,0
100年11月,基隆港,"皮革毛衣及其製品,旅行用物品",中國大陸,0
100年11月,基隆港,紡織品及其製品,中國大陸,0
100年11月,基隆港,卑金屬及其製品,中國大陸,0
100年11月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,6
100年11月,基隆港,"機械用具電機設備,電視影像錄音機",韓國,0
100年11月,基隆港,車輛航空器船舶運輸設備,中國大陸,2
100年12月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,8
100年12月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,2
100年12月,基隆港,"機械用具電機設備,電視影像錄音機",香港,0
100年12月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",中國大陸,0
101年01月,基隆港,動植物油脂及其分解物,中國大陸,0
101年01月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,6
101年01月,基隆港,"調製食品,飲料,煙酒類",中國大陸,0
101年01月,基隆港,化學或有關工業產品,中國大陸,0
101年01月,基隆港,塑膠橡膠及其製品,中國大陸,0
101年01月,基隆港,"皮革毛衣及其製品,旅行用物品",中國大陸,0
101年01月,基隆港,紡織品及其製品,中國大陸,0
101年01月,基隆港,卑金屬及其製品,中國大陸,0
101年01月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,7
101年01月,基隆港,"機械用具電機設備,電視影像錄音機",德國,0
101年01月,基隆港,車輛航空器船舶運輸設備,中國大陸,0
101年01月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",中國大陸,0
101年02月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,6
101年02月,基隆港,"機械用具電機設備,電視影像錄音機",香港,0
101年02月,基隆港,"機械用具電機設備,電視影像錄音機",韓國,0
101年03月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,7
101年03月,基隆港,化學或有關工業產品,中國大陸,0
101年03月,基隆港,塑膠橡膠及其製品,中國大陸,0
101年03月,基隆港,紡織品及其製品,中國大陸,0
101年03月,基隆港,"鞋帽傘,羽毛及其製品,人造花",中國大陸,0
101年03月,基隆港,卑金屬及其製品,中國大陸,0
101年03月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,5
101年03月,基隆港,"機械用具電機設備,電視影像錄音機",德國,0
101年03月,基隆港,"機械用具電機設備,電視影像錄音機",韓國,0
101年03月,基隆港,"機械用具電機設備,電視影像錄音機",歐洲其他,0
101年03月,基隆港,車輛航空器船舶運輸設備,中國大陸,0
101年03月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",中國大陸,0
101年03月,基隆港,"家具玩具運動用品,雜項製品",中國大陸,2
101年04月,基隆港,"調製食品,飲料,煙酒類",亞洲其他,9
101年04月,基隆港,"調製食品,飲料,煙酒類",中國大陸,0
101年04月,基隆港,化學或有關工業產品,中國大陸,1
101年04月,基隆港,塑膠橡膠及其製品,中國大陸,1
