時間,臺灣港口,貨物別,地區別,重量(公噸)
098年03月,基隆港,車輛航空器船舶運輸設備,德國,9
098年05月,基隆港,卑金屬及其製品,日本,99
098年05月,基隆港,車輛航空器船舶運輸設備,德國,144
098年07月,基隆港,"木漿紙漿,紙及紙板及其製品",日本,0
098年07月,基隆港,"機械用具電機設備,電視影像錄音機",日本,0
098年10月,基隆港,車輛航空器船舶運輸設備,日本,0
098年11月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
098年11月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,0
098年12月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
098年12月,基隆港,"機械用具電機設備,電視影像錄音機",香港,0
099年01月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
099年01月,基隆港,車輛航空器船舶運輸設備,日本,0
099年02月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
099年03月,基隆港,"機械用具電機設備,電視影像錄音機",馬來西亞,0
099年03月,基隆港,車輛航空器船舶運輸設備,德國,2
099年03月,基隆港,車輛航空器船舶運輸設備,日本,0
099年04月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
099年04月,基隆港,"機械用具電機設備,電視影像錄音機",香港,0
099年04月,基隆港,"機械用具電機設備,電視影像錄音機",日本,2
099年05月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
099年07月,基隆港,"木漿紙漿,紙及紙板及其製品",日本,0
099年07月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
099年07月,基隆港,"機械用具電機設備,電視影像錄音機",香港,0
099年07月,基隆港,車輛航空器船舶運輸設備,德國,1
099年08月,基隆港,"機械用具電機設備,電視影像錄音機",澳洲,0
099年08月,基隆港,"家具玩具運動用品,雜項製品",香港,0
099年09月,基隆港,"機械用具電機設備,電視影像錄音機",美國,4
099年09月,基隆港,車輛航空器船舶運輸設備,中國大陸,0
099年11月,基隆港,塑膠橡膠及其製品,澳洲,0
099年11月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,0
099年11月,基隆港,"機械用具電機設備,電視影像錄音機",日本,0
099年11月,基隆港,"機械用具電機設備,電視影像錄音機",美國,4
099年11月,基隆港,車輛航空器船舶運輸設備,中國大陸,0
099年11月,基隆港,車輛航空器船舶運輸設備,日本,0
100年04月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,0
100年07月,基隆港,塑膠橡膠及其製品,日本,1
100年08月,基隆港,"機械用具電機設備,電視影像錄音機",日本,0
100年10月,基隆港,塑膠橡膠及其製品,日本,2
100年12月,基隆港,車輛航空器船舶運輸設備,日本,0
101年01月,基隆港,塑膠橡膠及其製品,日本,1
101年03月,基隆港,塑膠橡膠及其製品,日本,0
101年05月,基隆港,化學或有關工業產品,日本,0
101年05月,基隆港,塑膠橡膠及其製品,日本,0
101年05月,基隆港,卑金屬及其製品,日本,0
101年06月,基隆港,塑膠橡膠及其製品,日本,1
101年06月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",義大利,1
101年07月,基隆港,塑膠橡膠及其製品,日本,0
101年08月,基隆港,塑膠橡膠及其製品,日本,0
101年08月,基隆港,"機械用具電機設備,電視影像錄音機",香港,0
101年09月,基隆港,塑膠橡膠及其製品,日本,1
101年10月,基隆港,塑膠橡膠及其製品,日本,0
101年10月,基隆港,"石料水泥石棉等材料之製品,陶瓷,玻璃",香港,2
101年10月,基隆港,卑金屬及其製品,中國大陸,21
101年10月,基隆港,"機械用具電機設備,電視影像錄音機",香港,4
101年11月,基隆港,"調製食品,飲料,煙酒類",美國,0
101年11月,基隆港,化學或有關工業產品,美國,0
101年11月,基隆港,塑膠橡膠及其製品,日本,0
101年11月,基隆港,塑膠橡膠及其製品,美國,0
101年11月,基隆港,"皮革毛衣及其製品,旅行用物品",美國,0
101年11月,基隆港,紡織品及其製品,美國,0
101年11月,基隆港,"鞋帽傘,羽毛及其製品,人造花",美國,0
101年11月,基隆港,卑金屬及其製品,香港,0
101年11月,基隆港,卑金屬及其製品,美國,0
101年11月,基隆港,"機械用具電機設備,電視影像錄音機",中國大陸,0
101年11月,基隆港,"機械用具電機設備,電視影像錄音機",香港,17
101年11月,基隆港,"機械用具電機設備,電視影像錄音機",美國,0
101年11月,基隆港,車輛航空器船舶運輸設備,香港,0
101年11月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",香港,0
101年11月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",韓國,0
101年11月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",美國,0
101年11月,基隆港,"家具玩具運動用品,雜項製品",香港,0
101年11月,基隆港,"家具玩具運動用品,雜項製品",美國,0
101年12月,基隆港,"調製食品,飲料,煙酒類",美國,0
101年12月,基隆港,化學或有關工業產品,美國,0
101年12月,基隆港,塑膠橡膠及其製品,日本,0
101年12月,基隆港,塑膠橡膠及其製品,美國,0
101年12月,基隆港,"皮革毛衣及其製品,旅行用物品",美國,0
101年12月,基隆港,"木漿紙漿,紙及紙板及其製品",美國,0
101年12月,基隆港,紡織品及其製品,美國,0
101年12月,基隆港,"鞋帽傘,羽毛及其製品,人造花",美國,0
101年12月,基隆港,"石料水泥石棉等材料之製品,陶瓷,玻璃",香港,0
101年12月,基隆港,"石料水泥石棉等材料之製品,陶瓷,玻璃",美國,0
101年12月,基隆港,卑金屬及其製品,美國,0
101年12月,基隆港,"機械用具電機設備,電視影像錄音機",香港,4
101年12月,基隆港,"機械用具電機設備,電視影像錄音機",美國,0
101年12月,基隆港,車輛航空器船舶運輸設備,美國,0
101年12月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",香港,0
101年12月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",美國,0
101年12月,基隆港,"家具玩具運動用品,雜項製品",美國,0
102年01月,基隆港,塑膠橡膠及其製品,日本,2
102年01月,基隆港,"石料水泥石棉等材料之製品,陶瓷,玻璃",香港,3
102年01月,基隆港,"機械用具電機設備,電視影像錄音機",香港,8
102年01月,基隆港,"機械用具電機設備,電視影像錄音機",美國,1
102年01月,基隆港,車輛航空器船舶運輸設備,美國,1
102年01月,基隆港,"光學照相電影計量檢查儀器,鐘錶樂器",韓國,0
