時間,國內/國外,進港/出港,臺灣港口,國籍,重量(公噸)
096年01月,國外,進港,基隆港,安地卡及巴布達,10622
096年01月,國外,進港,基隆港,荷屬安地列斯,687
096年01月,國外,進港,基隆港,巴哈馬,12673
096年01月,國外,進港,基隆港,貝里斯,20113
096年01月,國外,進港,基隆港,賽普勒斯,30974
096年01月,國外,進港,基隆港,德國,8926
096年01月,國外,進港,基隆港,英國,6906
096年01月,國外,進港,基隆港,希臘,6670
096年01月,國外,進港,基隆港,香港,254758
096年01月,國外,進港,基隆港,以色列,1937
096年01月,國外,進港,基隆港,義大利,910
096年01月,國外,進港,基隆港,日本,288
096年01月,國外,進港,基隆港,高棉,53754
096年01月,國外,進港,基隆港,北韓,6028
096年01月,國外,進港,基隆港,韓國,35873
096年01月,國外,進港,基隆港,賴比瑞亞,146921
096年01月,國外,進港,基隆港,馬紹爾群島,42968
096年01月,國外,進港,基隆港,馬爾他,5208
096年01月,國外,進港,基隆港,馬來西亞,4967
096年01月,國外,進港,基隆港,荷蘭,5
096年01月,國外,進港,基隆港,挪威,8810
096年01月,國外,進港,基隆港,巴拿馬,776635
096年01月,國外,進港,基隆港,新加坡,129007
096年01月,國外,進港,基隆港,泰國,9933
096年01月,國外,進港,基隆港,吐瓦魯,2336
096年01月,國內,進港,基隆港,台灣，中華民國,614932
096年01月,國外,進港,基隆港,聖文森,16496
096年01月,國外,進港,基隆港,越南,5677
096年01月,國外,出港,基隆港,安地卡及巴布達,19402
096年01月,國外,出港,基隆港,荷屬安地列斯,5903
096年01月,國外,出港,基隆港,巴哈馬,14310
096年01月,國外,出港,基隆港,貝里斯,136
096年01月,國外,出港,基隆港,賽普勒斯,7201
096年01月,國外,出港,基隆港,德國,9149
096年01月,國外,出港,基隆港,英國,7907
096年01月,國外,出港,基隆港,希臘,2475
096年01月,國外,出港,基隆港,香港,51865
096年01月,國外,出港,基隆港,以色列,2900
096年01月,國外,出港,基隆港,義大利,1260
096年01月,國外,出港,基隆港,日本,460
096年01月,國外,出港,基隆港,高棉,0
096年01月,國外,出港,基隆港,北韓,0
096年01月,國外,出港,基隆港,韓國,24350
096年01月,國外,出港,基隆港,賴比瑞亞,108440
096年01月,國外,出港,基隆港,馬紹爾群島,44369
096年01月,國外,出港,基隆港,馬爾他,5036
096年01月,國外,出港,基隆港,馬來西亞,0
096年01月,國外,出港,基隆港,荷蘭,0
096年01月,國外,出港,基隆港,挪威,811
096年01月,國外,出港,基隆港,巴拿馬,145101
096年01月,國外,出港,基隆港,新加坡,124673
096年01月,國外,出港,基隆港,泰國,4035
096年01月,國外,出港,基隆港,吐瓦魯,3228
096年01月,國內,出港,基隆港,台灣，中華民國,129411
096年01月,國外,出港,基隆港,聖文森,18289
096年01月,國外,出港,基隆港,越南,3855
096年02月,國外,進港,基隆港,安地卡及巴布達,12756
096年02月,國外,進港,基隆港,荷屬安地列斯,140
096年02月,國外,進港,基隆港,巴哈馬,8533
096年02月,國外,進港,基隆港,貝里斯,7374
096年02月,國外,進港,基隆港,賽普勒斯,5851
096年02月,國外,進港,基隆港,德國,6320
096年02月,國外,進港,基隆港,英國,6908
096年02月,國外,進港,基隆港,喬治亞,2000
096年02月,國外,進港,基隆港,希臘,0
096年02月,國外,進港,基隆港,香港,208910
096年02月,國外,進港,基隆港,以色列,6604
096年02月,國外,進港,基隆港,印度,10492
096年02月,國外,進港,基隆港,義大利,0
096年02月,國外,進港,基隆港,日本,111
096年02月,國外,進港,基隆港,高棉,23809
096年02月,國外,進港,基隆港,北韓,6058
096年02月,國外,進港,基隆港,韓國,22460
096年02月,國外,進港,基隆港,賴比瑞亞,85886
096年02月,國外,進港,基隆港,馬紹爾群島,29088
096年02月,國外,進港,基隆港,馬爾他,2951
096年02月,國外,進港,基隆港,馬來西亞,6106
096年02月,國外,進港,基隆港,挪威,495
096年02月,國外,進港,基隆港,巴拿馬,425054
096年02月,國外,進港,基隆港,沙烏地阿拉伯,9279
096年02月,國外,進港,基隆港,新加坡,107026
096年02月,國外,進港,基隆港,泰國,916
096年02月,國外,進港,基隆港,吐瓦魯,3206
096年02月,國內,進港,基隆港,台灣，中華民國,664461
096年02月,國外,進港,基隆港,聖文森,12421
096年02月,國外,進港,基隆港,越南,2440
096年02月,國外,進港,基隆港,其他國家,0
096年02月,國外,出港,基隆港,安地卡及巴布達,18677
096年02月,國外,出港,基隆港,荷屬安地列斯,4693
096年02月,國外,出港,基隆港,巴哈馬,1986
096年02月,國外,出港,基隆港,貝里斯,0
096年02月,國外,出港,基隆港,賽普勒斯,3553
096年02月,國外,出港,基隆港,德國,5964
096年02月,國外,出港,基隆港,英國,5939
096年02月,國外,出港,基隆港,喬治亞,0
096年02月,國外,出港,基隆港,希臘,2
096年02月,國外,出港,基隆港,香港,24353
096年02月,國外,出港,基隆港,以色列,5807
096年02月,國外,出港,基隆港,印度,0
096年02月,國外,出港,基隆港,義大利,7
096年02月,國外,出港,基隆港,日本,457
096年02月,國外,出港,基隆港,高棉,0
096年02月,國外,出港,基隆港,北韓,0
096年02月,國外,出港,基隆港,韓國,12234
096年02月,國外,出港,基隆港,賴比瑞亞,80417
096年02月,國外,出港,基隆港,馬紹爾群島,36372
096年02月,國外,出港,基隆港,馬爾他,2144
096年02月,國外,出港,基隆港,馬來西亞,0
096年02月,國外,出港,基隆港,挪威,1017
096年02月,國外,出港,基隆港,巴拿馬,86438
096年02月,國外,出港,基隆港,沙烏地阿拉伯,0
096年02月,國外,出港,基隆港,新加坡,86271
096年02月,國外,出港,基隆港,泰國,2315
096年02月,國外,出港,基隆港,吐瓦魯,3071
096年02月,國內,出港,基隆港,台灣，中華民國,56319
096年02月,國外,出港,基隆港,聖文森,8435
096年02月,國外,出港,基隆港,越南,2075
096年02月,國外,出港,基隆港,其他國家,272
096年03月,國外,進港,基隆港,安地卡及巴布達,11646
096年03月,國外,進港,基隆港,荷屬安地列斯,98
096年03月,國外,進港,基隆港,巴哈馬,55322
096年03月,國外,進港,基隆港,貝里斯,12071
096年03月,國外,進港,基隆港,賽普勒斯,8222
096年03月,國外,進港,基隆港,德國,9267
096年03月,國外,進港,基隆港,英國,9491
096年03月,國外,進港,基隆港,希臘,5996
096年03月,國外,進港,基隆港,香港,442377
096年03月,國外,進港,基隆港,以色列,3407
096年03月,國外,進港,基隆港,義大利,699
096年03月,國外,進港,基隆港,日本,172
096年03月,國外,進港,基隆港,高棉,33942
096年03月,國外,進港,基隆港,北韓,5700
096年03月,國外,進港,基隆港,韓國,30174
096年03月,國外,進港,基隆港,賴比瑞亞,124861
096年03月,國外,進港,基隆港,馬紹爾群島,39481
096年03月,國外,進港,基隆港,蒙古,2800
096年03月,國外,進港,基隆港,馬爾他,3814
096年03月,國外,進港,基隆港,馬來西亞,413
096年03月,國外,進港,基隆港,挪威,2307
096年03月,國外,進港,基隆港,巴拿馬,418320
096年03月,國外,進港,基隆港,菲律賓,157
096年03月,國外,進港,基隆港,瑞典,264
096年03月,國外,進港,基隆港,新加坡,113665
096年03月,國外,進港,基隆港,泰國,4834
096年03月,國外,進港,基隆港,土耳其,20054
096年03月,國外,進港,基隆港,吐瓦魯,4582
096年03月,國內,進港,基隆港,台灣，中華民國,578532
096年03月,國外,進港,基隆港,聖文森,20479
096年03月,國外,進港,基隆港,越南,4968
096年03月,國外,進港,基隆港,萬那杜,1714
096年03月,國外,出港,基隆港,安地卡及巴布達,23563
096年03月,國外,出港,基隆港,荷屬安地列斯,5308
096年03月,國外,出港,基隆港,巴哈馬,8911
096年03月,國外,出港,基隆港,貝里斯,570
096年03月,國外,出港,基隆港,賽普勒斯,12268
096年03月,國外,出港,基隆港,德國,3725
096年03月,國外,出港,基隆港,英國,3699
096年03月,國外,出港,基隆港,希臘,2213
096年03月,國外,出港,基隆港,香港,63747
096年03月,國外,出港,基隆港,以色列,4035
096年03月,國外,出港,基隆港,義大利,2984
096年03月,國外,出港,基隆港,日本,624
096年03月,國外,出港,基隆港,高棉,0
096年03月,國外,出港,基隆港,北韓,0
096年03月,國外,出港,基隆港,韓國,15800
096年03月,國外,出港,基隆港,賴比瑞亞,128234
096年03月,國外,出港,基隆港,馬紹爾群島,59109
096年03月,國外,出港,基隆港,蒙古,0
096年03月,國外,出港,基隆港,馬爾他,3749
096年03月,國外,出港,基隆港,馬來西亞,81
096年03月,國外,出港,基隆港,挪威,2133
096年03月,國外,出港,基隆港,巴拿馬,149611
096年03月,國外,出港,基隆港,菲律賓,0
096年03月,國外,出港,基隆港,瑞典,0
096年03月,國外,出港,基隆港,新加坡,127615
096年03月,國外,出港,基隆港,泰國,7831
096年03月,國外,出港,基隆港,土耳其,0
096年03月,國外,出港,基隆港,吐瓦魯,8880
096年03月,國內,出港,基隆港,台灣，中華民國,83986
096年03月,國外,出港,基隆港,聖文森,15956
096年03月,國外,出港,基隆港,越南,124
096年03月,國外,出港,基隆港,萬那杜,2221
096年04月,國外,進港,基隆港,安地卡及巴布達,24493
096年04月,國外,進港,基隆港,荷屬安地列斯,125
