時間,臺灣港口,國內/國外,地區別,貨物別,重量(公噸)
096年01月,基隆港,國內,花蓮港,矽砂,318167
096年01月,基隆港,國外,中國大陸,高嶺土,40
096年01月,基隆港,國外,香港,高嶺土,65369
096年01月,基隆港,國外,亞洲其他,磷礦砂,22000
096年01月,基隆港,國外,中國大陸,大理石花崗石,2123
096年01月,基隆港,國外,日本,大理石花崗石,17100
096年01月,基隆港,國外,中國大陸,砂礫,239450
096年01月,基隆港,國外,日本,砂礫,154483
096年01月,基隆港,國外,中國大陸,鎂礦砂,3100
096年01月,基隆港,國內,花蓮港,水泥,109500
096年01月,基隆港,國外,中國大陸,水泥,12294
096年01月,基隆港,國外,日本,水泥熟料,800
096年01月,基隆港,國外,香港,長石、霞石,82776
096年01月,基隆港,國外,日本,爐石,62656
096年01月,基隆港,國外,澳洲,其他非金屬礦產品,14736
096年01月,基隆港,國外,印尼,煤,45005
096年01月,基隆港,國外,韓國,煤,172388
096年01月,基隆港,國外,澳洲,化工原料,5525
096年01月,基隆港,國外,中國大陸,化工原料,223
096年01月,基隆港,國外,香港,化工原料,26
096年01月,基隆港,國外,日本,化工原料,2089
096年01月,基隆港,國外,韓國,化工原料,2262
096年01月,基隆港,國外,沙烏地阿拉伯,化工原料,16448
096年01月,基隆港,國外,新加坡,化工原料,1502
096年01月,基隆港,國內,高雄港,燃料油,120005
096年01月,基隆港,國外,新加坡,燃料油,26051
096年01月,基隆港,國外,香港,肥料,3600
096年01月,基隆港,國外,日本,合成樹脂,1
096年01月,基隆港,國外,韓國,合成樹脂,16
096年01月,基隆港,國外,新加坡,合成樹脂,31
096年01月,基隆港,國外,泰國,合成樹脂,16
096年01月,基隆港,國外,紐西蘭,製材,401
096年01月,基隆港,國外,日本,塑合板,9
096年01月,基隆港,國外,紐西蘭,塑合板,384
096年01月,基隆港,國外,日本,紙漿,981
096年01月,基隆港,國外,香港,耐火磚,2
096年01月,基隆港,國外,日本,生鐵,38
096年01月,基隆港,國外,中國大陸,鋼材,139
096年01月,基隆港,國外,香港,鋼材,57
096年01月,基隆港,國外,日本,鋼材,28007
096年01月,基隆港,國外,韓國,鋼材,7753
096年01月,基隆港,國外,香港,其他,6513
096年01月,基隆港,國外,日本,其他,125
096年02月,基隆港,國外,日本,醋酸,1
096年02月,基隆港,國外,中國大陸,石墨,1
096年02月,基隆港,國內,花蓮港,矽砂,298176
096年02月,基隆港,國外,中國大陸,高嶺土,120
096年02月,基隆港,國外,香港,高嶺土,40043
096年02月,基隆港,國外,日本,大理石花崗石,17100
096年02月,基隆港,國外,中國大陸,砂礫,208000
096年02月,基隆港,國外,香港,砂礫,20000
096年02月,基隆港,國外,日本,砂礫,96536
096年02月,基隆港,國外,中國大陸,鎂礦砂,3518
096年02月,基隆港,國外,韓國,鎂礦砂,2340
096年02月,基隆港,國內,花蓮港,水泥,104350
096年02月,基隆港,國外,中國大陸,水泥,13311
096年02月,基隆港,國外,日本,水泥,19600
