時間,地區別,臺灣港口,空實櫃別,貨櫃尺寸,貨櫃量
096年01月,亞洲其他,基隆港,實櫃,20呎,77
096年01月,亞洲其他,基隆港,實櫃,40呎,23
096年01月,阿拉伯聯合大公國,基隆港,實櫃,20呎,54
096年01月,阿拉伯聯合大公國,基隆港,實櫃,40呎,9
096年01月,阿根廷,基隆港,實櫃,20呎,36
096年01月,阿根廷,基隆港,實櫃,40呎,15
096年01月,澳洲,基隆港,實櫃,20呎,223
096年01月,澳洲,基隆港,實櫃,40呎,70
096年01月,孟加拉,基隆港,實櫃,40呎,1
096年01月,比利時,基隆港,實櫃,20呎,18
096年01月,比利時,基隆港,實櫃,40呎,20
096年01月,巴林,基隆港,實櫃,20呎,27
096年01月,巴西,基隆港,實櫃,20呎,96
096年01月,巴西,基隆港,實櫃,40呎,64
096年01月,中美洲其他,基隆港,實櫃,20呎,84
096年01月,中美洲其他,基隆港,實櫃,40呎,119
096年01月,加拿大,基隆港,實櫃,20呎,16
096年01月,加拿大,基隆港,實櫃,40呎,22
096年01月,瑞士,基隆港,實櫃,20呎,3
096年01月,象牙海岸,基隆港,實櫃,40呎,1
096年01月,智利,基隆港,實櫃,20呎,256
096年01月,智利,基隆港,實櫃,40呎,535
096年01月,中國大陸,基隆港,實櫃,20呎,5023
096年01月,中國大陸,基隆港,實櫃,40呎,4038
096年01月,德國,基隆港,實櫃,20呎,13
096年01月,德國,基隆港,實櫃,40呎,9
096年01月,埃及,基隆港,實櫃,20呎,47
096年01月,埃及,基隆港,實櫃,40呎,2
096年01月,西班牙,基隆港,實櫃,20呎,4
096年01月,西班牙,基隆港,實櫃,40呎,13
096年01月,非洲其他,基隆港,實櫃,20呎,15
096年01月,非洲其他,基隆港,實櫃,40呎,6
096年01月,法國,基隆港,實櫃,20呎,13
096年01月,法國,基隆港,實櫃,40呎,27
096年01月,英國,基隆港,實櫃,20呎,4
096年01月,英國,基隆港,實櫃,40呎,4
096年01月,香港,基隆港,實櫃,20呎,4285
096年01月,香港,基隆港,實櫃,40呎,6309
096年01月,印尼,基隆港,實櫃,20呎,358
096年01月,印尼,基隆港,實櫃,40呎,271
096年01月,印度,基隆港,實櫃,20呎,139
096年01月,印度,基隆港,實櫃,40呎,39
096年01月,伊朗,基隆港,實櫃,20呎,36
096年01月,伊朗,基隆港,實櫃,40呎,14
096年01月,義大利,基隆港,實櫃,20呎,21
096年01月,義大利,基隆港,實櫃,40呎,22
096年01月,約旦,基隆港,實櫃,20呎,10
096年01月,約旦,基隆港,實櫃,40呎,1
096年01月,日本,基隆港,實櫃,20呎,6044
096年01月,日本,基隆港,實櫃,40呎,5648
096年01月,韓國,基隆港,實櫃,20呎,1698
096年01月,韓國,基隆港,實櫃,40呎,2122
096年01月,斯里蘭卡,基隆港,實櫃,20呎,10
096年01月,斯里蘭卡,基隆港,實櫃,40呎,8
096年01月,墨西哥,基隆港,實櫃,20呎,50
096年01月,墨西哥,基隆港,實櫃,40呎,9
096年01月,馬來西亞,基隆港,實櫃,20呎,869
096年01月,馬來西亞,基隆港,實櫃,40呎,534
096年01月,荷蘭,基隆港,實櫃,20呎,9
096年01月,荷蘭,基隆港,實櫃,40呎,3
096年01月,紐西蘭,基隆港,實櫃,20呎,260
096年01月,紐西蘭,基隆港,實櫃,40呎,93
096年01月,巴拿馬,基隆港,實櫃,40呎,12
096年01月,秘魯,基隆港,實櫃,20呎,56
096年01月,秘魯,基隆港,實櫃,40呎,113
096年01月,菲律賓,基隆港,實櫃,20呎,234
096年01月,菲律賓,基隆港,實櫃,40呎,159
096年01月,巴基斯坦,基隆港,實櫃,20呎,23
096年01月,巴基斯坦,基隆港,實櫃,40呎,29
096年01月,波多黎各,基隆港,實櫃,20呎,2
096年01月,俄羅斯,基隆港,實櫃,40呎,14
096年01月,南美洲其他,基隆港,實櫃,20呎,6
096年01月,南美洲其他,基隆港,實櫃,40呎,17
096年01月,沙烏地阿拉伯,基隆港,實櫃,20呎,13
096年01月,沙烏地阿拉伯,基隆港,實櫃,40呎,26
096年01月,瑞典,基隆港,實櫃,40呎,1
096年01月,新加坡,基隆港,實櫃,20呎,1157
096年01月,新加坡,基隆港,實櫃,40呎,740
096年01月,泰國,基隆港,實櫃,20呎,1366
096年01月,泰國,基隆港,實櫃,40呎,635
096年01月,土耳其,基隆港,實櫃,20呎,16
096年01月,土耳其,基隆港,實櫃,40呎,14
096年01月,歐洲其他,基隆港,實櫃,20呎,30
096年01月,歐洲其他,基隆港,實櫃,40呎,21
096年01月,烏克蘭,基隆港,實櫃,20呎,2
096年01月,烏克蘭,基隆港,實櫃,40呎,7
096年01月,美國,基隆港,實櫃,20呎,490
096年01月,美國,基隆港,實櫃,40呎,1534
096年01月,美國,基隆港,實櫃,45呎,55
096年01月,委內瑞拉,基隆港,實櫃,20呎,12
096年01月,越南,基隆港,實櫃,20呎,1116
096年01月,越南,基隆港,實櫃,40呎,477
096年01月,南非,基隆港,實櫃,20呎,263
096年01月,南非,基隆港,實櫃,40呎,24
096年01月,亞洲其他,基隆港,空櫃,20呎,12
096年01月,亞洲其他,基隆港,空櫃,40呎,50
096年01月,阿拉伯聯合大公國,基隆港,空櫃,40呎,19
096年01月,中美洲其他,基隆港,空櫃,20呎,620
096年01月,中美洲其他,基隆港,空櫃,40呎,232
096年01月,中美洲其他,基隆港,空櫃,45呎,20
