時間,國內港,地區別,貨物別,價值(新臺幣千元),重量(公噸)
100年01月,馬祖港,中國大陸,動物產品,223,6
100年01月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",8195,76
100年01月,馬祖港,中國大陸,紡織品及其製品,69794,268
100年01月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",2474,4
100年01月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",87939,148
100年01月,馬祖港,中國大陸,"珍珠寶石貴金屬,仿首飾",2158,2
100年01月,馬祖港,中國大陸,卑金屬及其製品,100687,275
100年01月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",1529685,528
100年01月,馬祖港,中國大陸,車輛航空器船舶運輸設備,38957,69
100年01月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",57638,24
100年01月,馬祖港,中國大陸,植物產品,7425,319
100年01月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",61153,81
100年01月,馬祖港,中國大陸,動植物油脂及其分解物,2564,25
100年01月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",114468,1299
100年01月,馬祖港,中國大陸,礦產品,642,4
100年01月,馬祖港,中國大陸,化學或有關工業產品,84721,290
100年01月,馬祖港,中國大陸,塑膠橡膠及其製品,74942,283
100年01月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",1492,6
100年01月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",2240,12
100年02月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",3467,31
100年02月,馬祖港,中國大陸,紡織品及其製品,18042,129
100年02月,馬祖港,中國大陸,卑金屬及其製品,30295,100
100年02月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",437775,219
100年02月,馬祖港,中國大陸,車輛航空器船舶運輸設備,8968,13
100年02月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",16571,13
100年02月,馬祖港,中國大陸,植物產品,756,24
100年02月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",6251,12
100年02月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",27845,376
100年02月,馬祖港,中國大陸,化學或有關工業產品,27459,134
100年02月,馬祖港,中國大陸,塑膠橡膠及其製品,42865,201
100年02月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",278,3
100年03月,馬祖港,中國大陸,動物產品,83,1
100年03月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",7404,36
100年03月,馬祖港,中國大陸,紡織品及其製品,27605,174
100年03月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",1227,4
100年03月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",4902,18
100年03月,馬祖港,中國大陸,卑金屬及其製品,50147,101
100年03月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",827789,232
100年03月,馬祖港,中國大陸,車輛航空器船舶運輸設備,31362,58
100年03月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",23190,25
100年03月,馬祖港,中國大陸,植物產品,888,22
100年03月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",25189,13
100年03月,馬祖港,中國大陸,動植物油脂及其分解物,353,1
100年03月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",63291,872
100年03月,馬祖港,中國大陸,礦產品,272,6
100年03月,馬祖港,中國大陸,化學或有關工業產品,52655,199
100年03月,馬祖港,中國大陸,塑膠橡膠及其製品,51532,189
100年03月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",1008,10
100年04月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",6822,21
100年04月,馬祖港,中國大陸,紡織品及其製品,20349,137
100年04月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",789,1
100年04月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",3283,11
100年04月,馬祖港,中國大陸,"珍珠寶石貴金屬,仿首飾",5687,9
100年04月,馬祖港,中國大陸,卑金屬及其製品,30929,82
100年04月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",665451,177
100年04月,馬祖港,中國大陸,車輛航空器船舶運輸設備,11297,13
100年04月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",23326,17
100年04月,馬祖港,中國大陸,植物產品,1317,22
100年04月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",26512,14
100年04月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",48757,1069
100年04月,馬祖港,中國大陸,化學或有關工業產品,23290,63
100年04月,馬祖港,中國大陸,塑膠橡膠及其製品,26802,69
100年04月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",375,5
100年05月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",5416,20
100年05月,馬祖港,中國大陸,紡織品及其製品,21017,107
100年05月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",733,1
100年05月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",3262,44
100年05月,馬祖港,中國大陸,卑金屬及其製品,32462,102
100年05月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",616670,99
100年05月,馬祖港,中國大陸,車輛航空器船舶運輸設備,2655,4
100年05月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",18286,6
100年05月,馬祖港,中國大陸,植物產品,966,11
100年05月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",32732,13
100年05月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",31904,422
100年05月,馬祖港,中國大陸,化學或有關工業產品,18257,32
100年05月,馬祖港,中國大陸,塑膠橡膠及其製品,19965,62
100年05月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",140,2
100年06月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",7968,13
100年06月,馬祖港,中國大陸,紡織品及其製品,18428,71
100年06月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",1754,1
100年06月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",6561,49
100年06月,馬祖港,中國大陸,"珍珠寶石貴金屬,仿首飾",2032,4
100年06月,馬祖港,中國大陸,卑金屬及其製品,36012,109
100年06月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",578491,295
100年06月,馬祖港,中國大陸,車輛航空器船舶運輸設備,26866,24
100年06月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",29820,5
100年06月,馬祖港,中國大陸,植物產品,497,3
100年06月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",66585,2
100年06月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",26204,405
100年06月,馬祖港,中國大陸,化學或有關工業產品,20997,34
100年06月,馬祖港,中國大陸,塑膠橡膠及其製品,38215,98
100年07月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",7728,31
100年07月,馬祖港,中國大陸,紡織品及其製品,26043,101
100年07月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",1505,1
100年07月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",7069,35
100年07月,馬祖港,中國大陸,卑金屬及其製品,42784,166
100年07月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",1343936,281
100年07月,馬祖港,中國大陸,車輛航空器船舶運輸設備,21296,14
100年07月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",25149,11
100年07月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",75817,12
100年07月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",13612,101
100年07月,馬祖港,中國大陸,礦產品,332,3
100年07月,馬祖港,中國大陸,化學或有關工業產品,34800,93
100年07月,馬祖港,中國大陸,塑膠橡膠及其製品,37659,82
100年07月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",3385,3
100年08月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",6456,22
100年08月,馬祖港,中國大陸,紡織品及其製品,31291,144
100年08月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",4994,29
100年08月,馬祖港,中國大陸,"珍珠寶石貴金屬,仿首飾",3766,3
100年08月,馬祖港,中國大陸,卑金屬及其製品,62617,213
100年08月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",1437253,195
100年08月,馬祖港,中國大陸,車輛航空器船舶運輸設備,5648,4
100年08月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",35455,7
100年08月,馬祖港,中國大陸,植物產品,317,1
100年08月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",50226,11
100年08月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",19682,137
100年08月,馬祖港,中國大陸,化學或有關工業產品,47747,108
100年08月,馬祖港,中國大陸,塑膠橡膠及其製品,56800,111
100年08月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",3258,3
100年08月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",267,2
100年09月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",3915,10
100年09月,馬祖港,中國大陸,紡織品及其製品,28835,108
100年09月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",1091,1
100年09月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",5595,21
100年09月,馬祖港,中國大陸,卑金屬及其製品,42335,106
100年09月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",220845,116
100年09月,馬祖港,中國大陸,車輛航空器船舶運輸設備,4341,7
100年09月,馬祖港,中國大陸,"光學照相電影計量檢查儀器,鐘錶樂器",28381,5
