時間,國內港,地區別,貨物別,價值(新臺幣千元),重量(公噸)
100年01月,馬祖港,中國大陸,動物產品,2606,23
100年01月,馬祖港,亞洲其他地區,動物產品,102,3
100年01月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",562,869
100年01月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",257,7
100年01月,馬祖港,中國大陸,植物產品,212,5
100年01月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",84,1
100年01月,馬祖港,亞洲其他地區,"調製食品,飲料,煙酒類",107,1
100年01月,馬祖港,中國大陸,礦產品,1309,8420
100年01月,馬祖港,中國大陸,化學或有關工業產品,5811,7
100年01月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",84,14
100年02月,馬祖港,中國大陸,動物產品,429,7
100年02月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",437,742
100年02月,馬祖港,中國大陸,植物產品,147,4
100年02月,馬祖港,中國大陸,礦產品,505,3340
100年03月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",71,3
100年03月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",33,1
100年03月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",28,33
100年03月,馬祖港,中國大陸,卑金屬及其製品,1745,5
100年03月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",277,1
100年03月,馬祖港,中國大陸,車輛航空器船舶運輸設備,96,1
100年03月,馬祖港,亞洲其他地區,車輛航空器船舶運輸設備,276,3
100年03月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",70,1
100年03月,馬祖港,中國大陸,藝術品古董,12,1
100年03月,馬祖港,中國大陸,礦產品,383,2480
100年04月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",38,1
100年04月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",134,203
100年04月,馬祖港,中國大陸,卑金屬及其製品,108,1
100年04月,馬祖港,中國大陸,植物產品,74,2
100年04月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",100,1
100年04月,馬祖港,中國大陸,礦產品,750,4870
100年04月,馬祖港,中國大陸,化學或有關工業產品,184,1
100年04月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",95,9
100年05月,馬祖港,中國大陸,"木漿紙漿,紙及紙板及其製品",186,1
100年05月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",388,360
100年05月,馬祖港,中國大陸,卑金屬及其製品,1085,3
100年05月,馬祖港,中國大陸,植物產品,134,4
100年05月,馬祖港,中國大陸,礦產品,1226,8130
100年05月,馬祖港,中國大陸,化學或有關工業產品,466,2
100年06月,馬祖港,中國大陸,紡織品及其製品,28,2
100年06月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",107,75
100年06月,馬祖港,中國大陸,卑金屬及其製品,25,1
100年06月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",74,1
100年06月,馬祖港,中國大陸,植物產品,23,1
100年06月,馬祖港,中國大陸,礦產品,119,800
100年07月,馬祖港,亞洲其他地區,動物產品,107,4
100年07月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",1330,1963
100年07月,馬祖港,中國大陸,卑金屬及其製品,274,1
100年07月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",439,6
100年07月,馬祖港,中國大陸,車輛航空器船舶運輸設備,142,2
100年07月,馬祖港,中國大陸,植物產品,231,6
100年07月,馬祖港,中國大陸,礦產品,1934,12903
100年07月,馬祖港,中國大陸,化學或有關工業產品,778,1
100年07月,馬祖港,中國大陸,塑膠橡膠及其製品,312,3
100年07月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",26,2
100年07月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",443,17
100年10月,馬祖港,亞洲其他地區,動物產品,169,5
100年10月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",100,1
100年10月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",858,1172
100年10月,馬祖港,亞洲其他地區,"石料水泥石棉等材料之製品,陶瓷,玻璃",110,5
100年10月,馬祖港,中國大陸,卑金屬及其製品,386,9
100年10月,馬祖港,亞洲其他地區,卑金屬及其製品,121,3
100年10月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",537,5
100年10月,馬祖港,亞洲其他地區,"機械用具電機設備,電視影像錄音機",144,5
100年10月,馬祖港,中國大陸,車輛航空器船舶運輸設備,344,1
100年10月,馬祖港,亞洲其他地區,車輛航空器船舶運輸設備,87,1
100年10月,馬祖港,中國大陸,植物產品,50,1
100年10月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",1291,8
100年10月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",506,9
100年10月,馬祖港,中國大陸,礦產品,11098,47661
100年10月,馬祖港,中國大陸,塑膠橡膠及其製品,577,12
100年10月,馬祖港,亞洲其他地區,塑膠橡膠及其製品,66,3
100年10月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",676,18
100年10月,馬祖港,亞洲其他地區,"皮革毛衣及其製品,旅行用物品",85,3
100年10月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",165,12
100年11月,馬祖港,中國大陸,"鞋帽傘,羽毛及其製品,人造花",87,1
100年11月,馬祖港,中國大陸,"石料水泥石棉等材料之製品,陶瓷,玻璃",896,841
100年11月,馬祖港,中國大陸,卑金屬及其製品,131,1
100年11月,馬祖港,中國大陸,"機械用具電機設備,電視影像錄音機",403,4
100年11月,馬祖港,中國大陸,植物產品,81,1
100年11月,馬祖港,中國大陸,"家具玩具運動用品,雜項製品",261,1
100年11月,馬祖港,中國大陸,"調製食品,飲料,煙酒類",592,10
100年11月,馬祖港,中國大陸,礦產品,14384,47680
100年11月,馬祖港,中國大陸,化學或有關工業產品,25,1
100年11月,馬祖港,中國大陸,塑膠橡膠及其製品,213,7
100年11月,馬祖港,中國大陸,"皮革毛衣及其製品,旅行用物品",339,10
100年11月,馬祖港,中國大陸,"木及木製品,軟木及軟木製品",112,11
