時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,船舶運能,艘次
2015/4/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/5/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/1/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/5/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,大豐,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2015/7/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/10/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/9/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/6/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,散裝船,中國大陸,6000~10000TEU,1
2015/5/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/5/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/7/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/4/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/3/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/4/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/3/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/3/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/8/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2018/3/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,江陰,花蓮港,散裝船,巴拿馬,3000TEU以下,1
2015/6/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/8/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,散裝船,香港,6000~10000TEU,1
2015/2/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/8/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/12/7 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/3/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/1/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/10/28 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/12/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2017/10/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,太倉,花蓮港,散裝船,巴拿馬,3000TEU以下,1
2015/11/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,南通,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/10/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/11/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/9/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/8/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/11/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/12/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,中國大陸,6000~10000TEU,1
2015/11/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,花蓮港,雜貨船,香港,6000~10000TEU,1
2015/9/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴哈馬,6000~10000TEU,1
2016/9/29 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,花蓮港,雜貨船,巴哈馬,3000TEU以下,1
2019/11/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,巴哈馬,3000TEU以下,1
2015/10/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,花蓮港,水泥專用船,中華民國,6000~10000TEU,1
2020/12/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,中國大陸,3000TEU以下,1
2015/9/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,花蓮港,散裝船,巴拿馬,6000~10000TEU,1
2021/2/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,散裝船,新加坡,3000TEU以下,1
2021/4/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,散裝船,新加坡,3000TEU以下,1
2021/1/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,賴比瑞亞,3000TEU以下,1
2015/11/30 上午 12:00:00,近洋航線,進港,裝貨,A200東南亞航線,新加坡,新加坡港,花蓮港,散裝船,馬爾他,6000~10000TEU,1
2015/3/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,花蓮港,水泥專用船,中華民國,6000~10000TEU,1
2019/4/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,Xiamen,花蓮港,雜貨船,馬紹爾群島共和國,3000TEU以下,1
2017/9/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,花蓮港,散裝船,巴哈馬,3000TEU以下,1
