atitle,ahref
行經臺灣各國際港各貨櫃航線之貨櫃船型統計,https://data.motcmpb.gov.tw/ListFolders/Document/111092?name=111092
臺灣各國際港進出港貨櫃船之靠港碼頭統計,https://data.motcmpb.gov.tw/ListFolders/Document/111091?name=111091
臺灣各國際港進出港之船舶種類統計,https://data.motcmpb.gov.tw/ListFolders/Document/111088?name=111088
行經臺灣各國際港各航線之船舶統計,https://data.motcmpb.gov.tw/ListFolders/Document/111087?name=111087
臺灣各國際港進出港之非貨櫃船舶統計,https://data.motcmpb.gov.tw/ListFolders/Document/111086?name=111086
行經臺灣各國際港航線進出港艘次統計,https://data.motcmpb.gov.tw/ListFolders/Document/111085?name=111085
臺灣地區各港進出港船舶按國籍分(貨部分),https://data.motcmpb.gov.tw/ListFolders/Document/106888?name=106888
臺灣地區各港海峽兩岸航線出港船舶載貨噸數按船種及港口分,https://data.motcmpb.gov.tw/ListFolders/Document/106887?name=106887
臺灣地區各港出港船舶按船種及地區分(貨部分),https://data.motcmpb.gov.tw/ListFolders/Document/106886?name=106886
臺灣地區各港海峽兩岸航線進港船舶載貨噸數按船種及港口分,https://data.motcmpb.gov.tw/ListFolders/Document/106874?name=106874
