atitle,ahref
臺灣地區各港進港散裝大宗貨物量,https://data.motcmpb.gov.tw/ListFolders/Document/106911?name=106911
臺灣地區各港出港散裝大宗貨物量,https://data.motcmpb.gov.tw/ListFolders/Document/106910?name=106910
臺灣地區各港國內航線貨運量按貨物分,https://data.motcmpb.gov.tw/ListFolders/Document/106909?name=106909
臺灣地區各港進口貨物重量跟價值按貨品及地區分,https://data.motcmpb.gov.tw/ListFolders/Document/106908?name=106908
臺灣地區各港出口貨物重量跟價值按貨品及地區分,https://data.motcmpb.gov.tw/ListFolders/Document/106907?name=106907
臺灣地區國內港進口貨物按地區分,https://data.motcmpb.gov.tw/ListFolders/Document/106906?name=106906
臺灣地區國內港出口貨物按地區分,https://data.motcmpb.gov.tw/ListFolders/Document/106905?name=106905
臺灣地區各港海峽兩岸航線出港雜貨數量,https://data.motcmpb.gov.tw/ListFolders/Document/106904?name=106904
臺灣地區各港海峽兩岸航線進港雜貨數量,https://data.motcmpb.gov.tw/ListFolders/Document/106903?name=106903
臺灣地區各港海峽兩岸航線出港散裝大宗貨物數量,https://data.motcmpb.gov.tw/ListFolders/Document/106902?name=106902
